,0
grid0_cycle1_run0,215196
grid0_cycle2_run0,262218
grid0_cycle3_run0,263514
grid0_cycle4_run0,271722
grid0_cycle5_run0,271722
grid0_cycle1_run1,272142
grid0_cycle2_run1,272142
grid0_cycle3_run1,264162
grid0_cycle4_run1,264162
grid0_cycle5_run1,264162
grid0_cycle1_run2,271722
grid0_cycle2_run2,271722
grid0_cycle3_run2,271722
grid0_cycle4_run2,271722
grid0_cycle5_run2,264378
grid0_cycle1_run3,271722
grid0_cycle2_run3,271722
grid0_cycle3_run3,271722
grid0_cycle4_run3,271722
grid0_cycle5_run3,271722
grid0_cycle1_run4,279276
grid0_cycle2_run4,279276
grid0_cycle3_run4,263730
grid0_cycle4_run4,263730
grid0_cycle5_run4,263730
grid0_cycle1_run5,277770
grid0_cycle2_run5,262650
grid0_cycle3_run5,263298
grid0_cycle4_run5,263298
grid0_cycle5_run5,279714
grid0_cycle1_run6,263508
grid0_cycle2_run6,263508
grid0_cycle3_run6,263508
grid0_cycle4_run6,263508
grid0_cycle5_run6,263508
grid0_cycle1_run7,271506
grid0_cycle2_run7,271506
grid0_cycle3_run7,271506
grid0_cycle4_run7,279498
grid0_cycle5_run7,256170
grid0_cycle1_run8,271506
grid0_cycle2_run8,264378
grid0_cycle3_run8,264378
grid0_cycle4_run8,264378
grid0_cycle5_run8,278850
grid0_cycle1_run9,271938
grid0_cycle2_run9,271938
grid0_cycle3_run9,271938
grid0_cycle4_run9,271938
grid0_cycle5_run9,271938
grid0_cycle1_run10,270636
grid0_cycle2_run10,279498
grid0_cycle3_run10,279498
grid0_cycle4_run10,279498
grid0_cycle5_run10,279498
grid0_cycle1_run11,278850
grid0_cycle2_run11,278850
grid0_cycle3_run11,278850
grid0_cycle4_run11,278850
grid0_cycle5_run11,271722
grid0_cycle1_run12,270426
grid0_cycle2_run12,270426
grid0_cycle3_run12,270426
grid0_cycle4_run12,270426
grid0_cycle5_run12,270426
grid0_cycle1_run13,262860
grid0_cycle2_run13,279066
grid0_cycle3_run13,279066
grid0_cycle4_run13,279930
grid0_cycle5_run13,279930
grid0_cycle1_run14,263946
grid0_cycle2_run14,263946
grid0_cycle3_run14,263946
grid0_cycle4_run14,263946
grid0_cycle5_run14,263946
grid0_cycle1_run15,256602
grid0_cycle2_run15,271074
grid0_cycle3_run15,271074
grid0_cycle4_run15,271074
grid0_cycle5_run15,271074
grid0_cycle1_run16,279708
grid0_cycle2_run16,279708
grid0_cycle3_run16,279708
grid0_cycle4_run16,279708
grid0_cycle5_run16,255954
grid0_cycle1_run17,256584
grid0_cycle2_run17,263502
grid0_cycle3_run17,262218
grid0_cycle4_run17,262644
grid0_cycle5_run17,264378
grid0_cycle1_run18,254646
grid0_cycle2_run18,254646
grid0_cycle3_run18,263082
grid0_cycle4_run18,263082
grid0_cycle5_run18,263082
grid0_cycle1_run19,278778
grid0_cycle2_run19,279282
grid0_cycle3_run19,279930
grid0_cycle4_run19,279930
grid0_cycle5_run19,279930
grid0_cycle1_run20,270642
grid0_cycle2_run20,270642
grid0_cycle3_run20,270642
grid0_cycle4_run20,271938
grid0_cycle5_run20,271938
grid0_cycle1_run21,272154
grid0_cycle2_run21,256386
grid0_cycle3_run21,256386
grid0_cycle4_run21,256386
grid0_cycle5_run21,256386
grid0_cycle1_run22,271278
grid0_cycle2_run22,279702
grid0_cycle3_run22,264162
grid0_cycle4_run22,264162
grid0_cycle5_run22,278844
grid0_cycle1_run23,263514
grid0_cycle2_run23,263514
grid0_cycle3_run23,279498
grid0_cycle4_run23,279498
grid0_cycle5_run23,279498
grid0_cycle1_run24,278844
grid0_cycle2_run24,278844
grid0_cycle3_run24,278844
grid0_cycle4_run24,278844
grid0_cycle5_run24,271938
grid0_cycle1_run25,255522
grid0_cycle2_run25,279924
grid0_cycle3_run25,279924
grid0_cycle4_run25,279924
grid0_cycle5_run25,279924
grid0_cycle1_run26,255942
grid0_cycle2_run26,255942
grid0_cycle3_run26,279486
grid0_cycle4_run26,255954
grid0_cycle5_run26,255954
grid0_cycle1_run27,279246
grid0_cycle2_run27,269772
grid0_cycle3_run27,279066
grid0_cycle4_run27,279066
grid0_cycle5_run27,279066
grid0_cycle1_run28,271932
grid0_cycle2_run28,271932
grid0_cycle3_run28,277764
grid0_cycle4_run28,277764
grid0_cycle5_run28,279282
grid0_cycle1_run29,270420
grid0_cycle2_run29,270420
grid0_cycle3_run29,278418
grid0_cycle4_run29,278418
grid0_cycle5_run29,278418
grid1_cycle1_run0,271938
grid1_cycle2_run0,271938
grid1_cycle3_run0,271938
grid1_cycle4_run0,271938
grid1_cycle5_run0,271938
grid1_cycle1_run1,264378
grid1_cycle2_run1,264378
grid1_cycle3_run1,264378
grid1_cycle4_run1,264378
grid1_cycle5_run1,264378
grid1_cycle1_run2,272154
grid1_cycle2_run2,272154
grid1_cycle3_run2,272154
grid1_cycle4_run2,272154
grid1_cycle5_run2,271722
grid1_cycle1_run3,255732
grid1_cycle2_run3,255732
grid1_cycle3_run3,279918
grid1_cycle4_run3,256380
grid1_cycle5_run3,256380
grid1_cycle1_run4,271074
grid1_cycle2_run4,263514
grid1_cycle3_run4,263514
grid1_cycle4_run4,269994
grid1_cycle5_run4,269994
grid1_cycle1_run5,278850
grid1_cycle2_run5,278850
grid1_cycle3_run5,278850
grid1_cycle4_run5,278850
grid1_cycle5_run5,278850
grid1_cycle1_run6,263298
grid1_cycle2_run6,264162
grid1_cycle3_run6,264162
grid1_cycle4_run6,264162
grid1_cycle5_run6,264162
grid1_cycle1_run7,279930
grid1_cycle2_run7,279930
grid1_cycle3_run7,279930
grid1_cycle4_run7,279930
grid1_cycle5_run7,279930
grid1_cycle1_run8,264372
grid1_cycle2_run8,264372
grid1_cycle3_run8,264372
grid1_cycle4_run8,264372
grid1_cycle5_run8,264372
grid1_cycle1_run9,279714
grid1_cycle2_run9,279714
grid1_cycle3_run9,279066
grid1_cycle4_run9,279066
grid1_cycle5_run9,279066
grid1_cycle1_run10,279714
grid1_cycle2_run10,279714
grid1_cycle3_run10,279714
grid1_cycle4_run10,279714
grid1_cycle5_run10,279714
grid1_cycle1_run11,264378
grid1_cycle2_run11,264378
grid1_cycle3_run11,264378
grid1_cycle4_run11,264378
grid1_cycle5_run11,264378
grid1_cycle1_run12,263946
grid1_cycle2_run12,263946
grid1_cycle3_run12,263946
grid1_cycle4_run12,263946
grid1_cycle5_run12,263946
grid1_cycle1_run13,263730
grid1_cycle2_run13,263730
grid1_cycle3_run13,263946
grid1_cycle4_run13,263946
grid1_cycle5_run13,263946
grid1_cycle1_run14,269994
grid1_cycle2_run14,269994
grid1_cycle3_run14,269994
grid1_cycle4_run14,269994
grid1_cycle5_run14,269994
grid1_cycle1_run15,279498
grid1_cycle2_run15,279498
grid1_cycle3_run15,279498
grid1_cycle4_run15,279498
grid1_cycle5_run15,279498
grid1_cycle1_run16,271722
grid1_cycle2_run16,271722
grid1_cycle3_run16,271722
grid1_cycle4_run16,271722
grid1_cycle5_run16,271722
grid1_cycle1_run17,271938
grid1_cycle2_run17,271938
grid1_cycle3_run17,271938
grid1_cycle4_run17,271938
grid1_cycle5_run17,271938
grid1_cycle1_run18,264162
grid1_cycle2_run18,264162
grid1_cycle3_run18,278850
grid1_cycle4_run18,278850
grid1_cycle5_run18,278850
grid1_cycle1_run19,255954
grid1_cycle2_run19,262650
grid1_cycle3_run19,262650
grid1_cycle4_run19,262650
grid1_cycle5_run19,262650
grid1_cycle1_run20,271932
grid1_cycle2_run20,271932
grid1_cycle3_run20,271932
grid1_cycle4_run20,271932
grid1_cycle5_run20,271932
grid1_cycle1_run21,271290
grid1_cycle2_run21,279282
grid1_cycle3_run21,279282
grid1_cycle4_run21,279282
grid1_cycle5_run21,279282
grid1_cycle1_run22,271938
grid1_cycle2_run22,271938
grid1_cycle3_run22,279282
grid1_cycle4_run22,279282
grid1_cycle5_run22,279282
grid1_cycle1_run23,271722
grid1_cycle2_run23,271722
grid1_cycle3_run23,271722
grid1_cycle4_run23,271722
grid1_cycle5_run23,271722
grid1_cycle1_run24,279282
grid1_cycle2_run24,279282
grid1_cycle3_run24,279282
grid1_cycle4_run24,263730
grid1_cycle5_run24,263730
grid1_cycle1_run25,262218
grid1_cycle2_run25,256602
grid1_cycle3_run25,256602
grid1_cycle4_run25,256602
grid1_cycle5_run25,256602
grid1_cycle1_run26,263730
grid1_cycle2_run26,263730
grid1_cycle3_run26,263730
grid1_cycle4_run26,263730
grid1_cycle5_run26,263730
grid1_cycle1_run27,256602
grid1_cycle2_run27,256602
grid1_cycle3_run27,263946
grid1_cycle4_run27,271506
grid1_cycle5_run27,271506
grid1_cycle1_run28,278850
grid1_cycle2_run28,278850
grid1_cycle3_run28,278850
grid1_cycle4_run28,278850
grid1_cycle5_run28,278850
grid1_cycle1_run29,263724
grid1_cycle2_run29,263724
grid1_cycle3_run29,263724
grid1_cycle4_run29,263724
grid1_cycle5_run29,263724
grid2_cycle1_run0,269988
grid2_cycle2_run0,269988
grid2_cycle3_run0,269988
grid2_cycle4_run0,256386
grid2_cycle5_run0,256386
grid2_cycle1_run1,279708
grid2_cycle2_run1,279708
grid2_cycle3_run1,256386
grid2_cycle4_run1,256386
grid2_cycle5_run1,256386
grid2_cycle1_run2,271674
grid2_cycle2_run2,271674
grid2_cycle3_run2,271722
grid2_cycle4_run2,270210
grid2_cycle5_run2,270210
grid2_cycle1_run3,270636
grid2_cycle2_run3,270636
grid2_cycle3_run3,264156
grid2_cycle4_run3,263946
grid2_cycle5_run3,263946
grid2_cycle1_run4,255090
grid2_cycle2_run4,255090
grid2_cycle3_run4,255090
grid2_cycle4_run4,263298
grid2_cycle5_run4,263298
grid2_cycle1_run5,269736
grid2_cycle2_run5,272154
grid2_cycle3_run5,272154
grid2_cycle4_run5,272154
grid2_cycle5_run5,272154
grid2_cycle1_run6,278778
grid2_cycle2_run6,263292
grid2_cycle3_run6,263292
grid2_cycle4_run6,263946
grid2_cycle5_run6,263946
grid2_cycle1_run7,263514
grid2_cycle2_run7,263514
grid2_cycle3_run7,263514
grid2_cycle4_run7,278850
grid2_cycle5_run7,278850
grid2_cycle1_run8,254190
grid2_cycle2_run8,254622
grid2_cycle3_run8,263082
grid2_cycle4_run8,271506
grid2_cycle5_run8,271506
grid2_cycle1_run9,270858
grid2_cycle2_run9,270858
grid2_cycle3_run9,270858
grid2_cycle4_run9,263298
grid2_cycle5_run9,263298
grid2_cycle1_run10,264378
grid2_cycle2_run10,264378
grid2_cycle3_run10,264378
grid2_cycle4_run10,264378
grid2_cycle5_run10,264378
grid2_cycle1_run11,277986
grid2_cycle2_run11,277986
grid2_cycle3_run11,277986
grid2_cycle4_run11,270642
grid2_cycle5_run11,271074
grid2_cycle1_run12,263718
