,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle1_run0,0,53634,239280,53616,117180,239274,53622,191268,239268,53628,117174,191274,239262,117168,53562,239256,53640,191280,239250,53646
grid0_cycle2_run0,263514,269994,271290,263298,269778,262002,262218,271074,268698,268482,260706,260922,279066,277554,278850,277770,276474,276258,216642,215562
grid0_cycle3_run0,263514,255738,269994,271290,277770,255522,262218,263298,254442,279066,269778,254226,262002,271074,277554,278850,255702,263478,269958,255486
grid0_cycle4_run0,271722,270858,272154,270852,271506,272148,270426,271938,255738,278628,270642,270210,278634,255522,271074,263514,254442,279930,279924,263298
grid0_cycle5_run0,263946,271722,279498,270858,263082,263730,264162,270426,271938,278202,262650,278634,279282,270642,271506,262866,263514,279066,278418,271290
grid0_cycle1_run1,272142,272148,279918,279924,271932,279702,279708,271710,271716,279492,271926,279486,279930,272154,279498,279714,271938,271722,272136,279912
grid0_cycle2_run1,264366,272142,262422,263070,271278,256590,269982,271062,279918,263718,270846,271494,269766,262206,279054,270198,255294,263502,264150,277758
grid0_cycle3_run1,264378,264162,262866,263082,254868,272154,264366,272142,271938,263946,262650,256386,263298,263514,254862,271074,262002,256164,271290,271278
grid0_cycle4_run1,264162,263730,264378,272154,263514,271506,264156,271290,272142,256386,263298,256164,263946,262434,263940,262866,254868,262218,271074,271716
grid0_cycle5_run1,271506,264378,272154,264372,255738,264162,256596,256602,271290,272148,263730,264156,255954,271722,263514,255948,255732,256164,255522,255300
grid0_cycle1_run2,271290,271722,271074,271506,271068,271278,271500,271494,271062,271284,271710,271716,263946,263298,263514,263730,271254,271038,271470,271686
grid0_cycle2_run2,271722,279498,271506,279282,271290,279066,271716,279492,263946,271500,279276,271710,279486,271284,263730,279060,263514,271494,279270,271278
grid0_cycle3_run2,271722,271938,279498,271506,272154,271290,279714,271710,279282,271926,279930,279066,270426,279486,271716,279702,272142,270642,279492,271932
grid0_cycle4_run2,271722,271938,279498,279714,272154,279930,271932,279708,272148,279924,271716,271506,271290,279282,279066,279492,271926,264156,264372,264162
grid0_cycle5_run2,264378,272154,264162,271938,279930,279714,264372,279498,264156,272148,263946,279924,256386,271722,256602,264366,279708,256170,271932,272142
grid0_cycle1_run3,279498,279714,256170,271722,263946,279708,279282,279492,256164,271938,263940,279066,264162,256386,264156,255954,256380,255738,271506,263730
grid0_cycle2_run3,254658,263946,255954,263082,255090,256602,264378,255306,264162,256386,262434,262866,263730,262650,256170,254874,263076,262644,263724,255300
grid0_cycle3_run3,263946,263730,256170,255954,271722,279498,263514,263298,255738,264162,271290,271938,255522,271506,279066,263940,279282,279714,256386,264378
grid0_cycle4_run3,263730,263946,279498,271722,279282,263514,263508,264162,263724,279066,264378,279714,271938,263298,263940,271290,263292,272154,262650,279930
grid0_cycle5_run3,271722,263946,279498,279066,279282,263514,263730,271938,272154,271290,263298,264162,271506,264378,278850,263940,279930,271074,279714,262650
grid0_cycle1_run4,279276,279282,279708,279924,279714,279240,279246,279492,279930,279498,279702,279060,279918,279270,279066,279672,277980,279888,279678,279486
grid0_cycle2_run4,279066,279282,279276,277770,279060,277986,279270,279498,279714,262218,279264,279030,277980,279054,279930,271290,279708,279492,279048,269994
grid0_cycle3_run4,263730,271506,279282,263298,263514,272154,264378,279930,263946,263724,271722,271500,264162,279498,279276,271938,279714,271074,263292,278850
grid0_cycle4_run4,263730,264162,271506,279282,263946,264378,271938,271722,272154,279714,279930,279498,264372,279066,271290,272148,263514,263724,278850,279924
grid0_cycle5_run4,279282,279066,278850,279930,279714,279498,263514,271506,271290,271074,263730,279276,279924,263298,279060,279708,255738,279492,272154,263508
grid0_cycle1_run5,262866,255090,270642,278418,262434,254874,254442,254658,262218,262650,277770,278202,277986,264162,256386,271938,279714,270426,269994,270210
grid0_cycle2_run5,262866,264162,262650,263946,263730,262434,279714,278418,279498,278202,271938,270642,279282,277986,271722,270426,271506,270210,255090,256386
grid0_cycle3_run5,263298,263946,263514,271074,262650,263730,271722,255522,271290,262002,279498,279492,263292,256170,271506,263940,270426,255738,262218,262644
grid0_cycle4_run5,263298,271074,262002,278418,279714,269778,279498,271722,270426,262650,263946,270642,262866,264162,271938,278202,278850,277554,271290,263514
grid0_cycle5_run5,271938,264162,279714,264378,271074,264366,263298,271290,263946,271722,262866,263514,262650,271506,264372,278850,264156,271932,263730,272154
grid0_cycle1_run6,262212,261996,254652,263508,262002,254436,262218,262428,271494,254220,262206,271500,270198,255948,254646,255732,262182,263292,261966,254226
grid0_cycle2_run6,263724,264156,263514,263940,264162,263298,263730,263508,263946,255948,256380,264372,256164,256596,256386,271500,271290,255738,263292,271938
grid0_cycle3_run6,271494,263718,263946,263514,264162,279270,263730,256170,264378,263934,255738,256386,255942,255954,264150,264366,271938,271710,256602,271926
