,0
grid0_cycle1_run0,0
grid0_cycle2_run0,39
grid0_cycle3_run0,44
grid0_cycle4_run0,87
grid0_cycle5_run0,88
grid0_cycle1_run1,49
grid0_cycle2_run1,56
grid0_cycle3_run1,67
grid0_cycle4_run1,80
grid0_cycle5_run1,78
grid0_cycle1_run2,38
grid0_cycle2_run2,60
grid0_cycle3_run2,64
grid0_cycle4_run2,79
grid0_cycle5_run2,86
grid0_cycle1_run3,81
grid0_cycle2_run3,74
grid0_cycle3_run3,84
grid0_cycle4_run3,81
grid0_cycle5_run3,87
grid0_cycle1_run4,34
grid0_cycle2_run4,51
grid0_cycle3_run4,76
grid0_cycle4_run4,90
grid0_cycle5_run4,80
grid0_cycle1_run5,45
grid0_cycle2_run5,71
grid0_cycle3_run5,73
grid0_cycle4_run5,76
grid0_cycle5_run5,82
grid0_cycle1_run6,51
grid0_cycle2_run6,81
grid0_cycle3_run6,82
grid0_cycle4_run6,84
grid0_cycle5_run6,85
grid0_cycle1_run7,75
grid0_cycle2_run7,63
grid0_cycle3_run7,80
grid0_cycle4_run7,84
grid0_cycle5_run7,89
grid0_cycle1_run8,52
grid0_cycle2_run8,58
grid0_cycle3_run8,57
grid0_cycle4_run8,81
grid0_cycle5_run8,88
grid0_cycle1_run9,53
grid0_cycle2_run9,46
grid0_cycle3_run9,78
grid0_cycle4_run9,71
grid0_cycle5_run9,81
grid0_cycle1_run10,71
grid0_cycle2_run10,89
grid0_cycle3_run10,82
grid0_cycle4_run10,86
grid0_cycle5_run10,92
grid0_cycle1_run11,50
grid0_cycle2_run11,75
grid0_cycle3_run11,60
grid0_cycle4_run11,81
grid0_cycle5_run11,89
grid0_cycle1_run12,61
grid0_cycle2_run12,74
grid0_cycle3_run12,77
grid0_cycle4_run12,78
grid0_cycle5_run12,84
grid0_cycle1_run13,54
grid0_cycle2_run13,74
grid0_cycle3_run13,75
grid0_cycle4_run13,80
grid0_cycle5_run13,81
grid0_cycle1_run14,47
grid0_cycle2_run14,59
grid0_cycle3_run14,62
grid0_cycle4_run14,81
grid0_cycle5_run14,90
grid0_cycle1_run15,58
grid0_cycle2_run15,82
grid0_cycle3_run15,87
grid0_cycle4_run15,86
grid0_cycle5_run15,82
grid0_cycle1_run16,13
grid0_cycle2_run16,41
grid0_cycle3_run16,75
grid0_cycle4_run16,73
grid0_cycle5_run16,88
grid0_cycle1_run17,16
grid0_cycle2_run17,50
grid0_cycle3_run17,55
grid0_cycle4_run17,83
grid0_cycle5_run17,78
grid0_cycle1_run18,23
grid0_cycle2_run18,49
grid0_cycle3_run18,82
grid0_cycle4_run18,70
grid0_cycle5_run18,71
grid0_cycle1_run19,2
grid0_cycle2_run19,48
grid0_cycle3_run19,59
grid0_cycle4_run19,78
grid0_cycle5_run19,88
grid0_cycle1_run20,44
grid0_cycle2_run20,94
grid0_cycle3_run20,92
grid0_cycle4_run20,85
grid0_cycle5_run20,79
grid0_cycle1_run21,34
grid0_cycle2_run21,45
grid0_cycle3_run21,73
grid0_cycle4_run21,81
grid0_cycle5_run21,80
grid0_cycle1_run22,50
grid0_cycle2_run22,51
grid0_cycle3_run22,72
grid0_cycle4_run22,73
grid0_cycle5_run22,63
grid0_cycle1_run23,82
grid0_cycle2_run23,81
grid0_cycle3_run23,86
grid0_cycle4_run23,85
grid0_cycle5_run23,89
grid0_cycle1_run24,29
grid0_cycle2_run24,44
grid0_cycle3_run24,84
grid0_cycle4_run24,84
grid0_cycle5_run24,86
grid0_cycle1_run25,53
grid0_cycle2_run25,75
grid0_cycle3_run25,68
grid0_cycle4_run25,71
grid0_cycle5_run25,81
grid0_cycle1_run26,21
grid0_cycle2_run26,78
grid0_cycle3_run26,78
grid0_cycle4_run26,91
grid0_cycle5_run26,78
grid0_cycle1_run27,41
grid0_cycle2_run27,54
grid0_cycle3_run27,79
grid0_cycle4_run27,78
grid0_cycle5_run27,79
grid0_cycle1_run28,63
grid0_cycle2_run28,53
grid0_cycle3_run28,50
grid0_cycle4_run28,58
grid0_cycle5_run28,73
grid0_cycle1_run29,29
grid0_cycle2_run29,53
grid0_cycle3_run29,79
grid0_cycle4_run29,86
grid0_cycle5_run29,85
grid1_cycle1_run0,73
grid1_cycle2_run0,83
grid1_cycle3_run0,89
grid1_cycle4_run0,78
grid1_cycle5_run0,89
grid1_cycle1_run1,82
grid1_cycle2_run1,92
grid1_cycle3_run1,84
grid1_cycle4_run1,91
grid1_cycle5_run1,94
grid1_cycle1_run2,75
grid1_cycle2_run2,77
grid1_cycle3_run2,83
grid1_cycle4_run2,81
grid1_cycle5_run2,84
grid1_cycle1_run3,71
grid1_cycle2_run3,71
grid1_cycle3_run3,70
grid1_cycle4_run3,72
grid1_cycle5_run3,78
grid1_cycle1_run4,83
grid1_cycle2_run4,80
grid1_cycle3_run4,86
grid1_cycle4_run4,87
grid1_cycle5_run4,81
grid1_cycle1_run5,75
grid1_cycle2_run5,63
grid1_cycle3_run5,60
grid1_cycle4_run5,53
grid1_cycle5_run5,88
grid1_cycle1_run6,86
grid1_cycle2_run6,84
grid1_cycle3_run6,91
grid1_cycle4_run6,89
grid1_cycle5_run6,85
grid1_cycle1_run7,67
grid1_cycle2_run7,77
grid1_cycle3_run7,81
grid1_cycle4_run7,76
grid1_cycle5_run7,85
grid1_cycle1_run8,89
grid1_cycle2_run8,84
grid1_cycle3_run8,90
grid1_cycle4_run8,85
grid1_cycle5_run8,88
grid1_cycle1_run9,71
grid1_cycle2_run9,84
grid1_cycle3_run9,88
grid1_cycle4_run9,89
grid1_cycle5_run9,84
grid1_cycle1_run10,88
grid1_cycle2_run10,89
grid1_cycle3_run10,94
grid1_cycle4_run10,91
grid1_cycle5_run10,89
grid1_cycle1_run11,82
grid1_cycle2_run11,78
grid1_cycle3_run11,92
grid1_cycle4_run11,88
grid1_cycle5_run11,88
grid1_cycle1_run12,80
grid1_cycle2_run12,82
grid1_cycle3_run12,87
grid1_cycle4_run12,86
grid1_cycle5_run12,86
grid1_cycle1_run13,75
grid1_cycle2_run13,64
grid1_cycle3_run13,83
grid1_cycle4_run13,77
grid1_cycle5_run13,78
grid1_cycle1_run14,79
grid1_cycle2_run14,76
grid1_cycle3_run14,84
grid1_cycle4_run14,78
grid1_cycle5_run14,79
grid1_cycle1_run15,85
grid1_cycle2_run15,80
grid1_cycle3_run15,74
grid1_cycle4_run15,73
grid1_cycle5_run15,70
grid1_cycle1_run16,73
grid1_cycle2_run16,84
grid1_cycle3_run16,75
grid1_cycle4_run16,88
grid1_cycle5_run16,85
grid1_cycle1_run17,93
grid1_cycle2_run17,76
grid1_cycle3_run17,89
grid1_cycle4_run17,89
grid1_cycle5_run17,86
grid1_cycle1_run18,73
grid1_cycle2_run18,88
grid1_cycle3_run18,86
grid1_cycle4_run18,88
grid1_cycle5_run18,89
grid1_cycle1_run19,84
grid1_cycle2_run19,86
grid1_cycle3_run19,86
grid1_cycle4_run19,90
grid1_cycle5_run19,88
grid1_cycle1_run20,74
grid1_cycle2_run20,88
grid1_cycle3_run20,81
grid1_cycle4_run20,73
grid1_cycle5_run20,88
grid1_cycle1_run21,86
grid1_cycle2_run21,85
grid1_cycle3_run21,85
grid1_cycle4_run21,81
grid1_cycle5_run21,85
grid1_cycle1_run22,84
grid1_cycle2_run22,89
grid1_cycle3_run22,90
grid1_cycle4_run22,88
grid1_cycle5_run22,89
grid1_cycle1_run23,85
grid1_cycle2_run23,84
grid1_cycle3_run23,89
grid1_cycle4_run23,86
grid1_cycle5_run23,88
grid1_cycle1_run24,78
grid1_cycle2_run24,88
grid1_cycle3_run24,91
grid1_cycle4_run24,90
grid1_cycle5_run24,83
grid1_cycle1_run25,74
grid1_cycle2_run25,87
grid1_cycle3_run25,81
grid1_cycle4_run25,88
grid1_cycle5_run25,89
grid1_cycle1_run26,89
grid1_cycle2_run26,88
grid1_cycle3_run26,88
grid1_cycle4_run26,82
grid1_cycle5_run26,72
grid1_cycle1_run27,67
grid1_cycle2_run27,83
grid1_cycle3_run27,88
grid1_cycle4_run27,88
grid1_cycle5_run27,94
grid1_cycle1_run28,70
grid1_cycle2_run28,87
grid1_cycle3_run28,86
grid1_cycle4_run28,86
grid1_cycle5_run28,87
grid1_cycle1_run29,77
grid1_cycle2_run29,84
grid1_cycle3_run29,79
grid1_cycle4_run29,82
grid1_cycle5_run29,82
grid2_cycle1_run0,12
grid2_cycle2_run0,52
grid2_cycle3_run0,44
grid2_cycle4_run0,91
grid2_cycle5_run0,86
grid2_cycle1_run1,32
grid2_cycle2_run1,38
grid2_cycle3_run1,64
grid2_cycle4_run1,77
grid2_cycle5_run1,84
grid2_cycle1_run2,0
grid2_cycle2_run2,30
grid2_cycle3_run2,61
grid2_cycle4_run2,85
grid2_cycle5_run2,85
grid2_cycle1_run3,58
grid2_cycle2_run3,53
grid2_cycle3_run3,69
grid2_cycle4_run3,89
grid2_cycle5_run3,92
grid2_cycle1_run4,17
grid2_cycle2_run4,71
grid2_cycle3_run4,81
grid2_cycle4_run4,82
grid2_cycle5_run4,80
grid2_cycle1_run5,14
grid2_cycle2_run5,81
grid2_cycle3_run5,77
grid2_cycle4_run5,90
grid2_cycle5_run5,90
grid2_cycle1_run6,10
grid2_cycle2_run6,30
grid2_cycle3_run6,52
grid2_cycle4_run6,89
grid2_cycle5_run6,91
grid2_cycle1_run7,24
grid2_cycle2_run7,40
grid2_cycle3_run7,60
grid2_cycle4_run7,79
grid2_cycle5_run7,78
grid2_cycle1_run8,1
grid2_cycle2_run8,47
grid2_cycle3_run8,70
grid2_cycle4_run8,85
grid2_cycle5_run8,84
grid2_cycle1_run9,0
grid2_cycle2_run9,25
grid2_cycle3_run9,50
grid2_cycle4_run9,87
grid2_cycle5_run9,91
grid2_cycle1_run10,4
grid2_cycle2_run10,63
grid2_cycle3_run10,87
grid2_cycle4_run10,90
grid2_cycle5_run10,90
grid2_cycle1_run11,40
grid2_cycle2_run11,29
grid2_cycle3_run11,47
grid2_cycle4_run11,89
grid2_cycle5_run11,94
grid2_cycle1_run12,6
grid2_cycle2_run12,43
grid2_cycle3_run12,82
grid2_cycle4_run12,86
grid2_cycle5_run12,82
grid2_cycle1_run13,0
grid2_cycle2_run13,0
grid2_cycle3_run13,5
grid2_cycle4_run13,49
grid2_cycle5_run13,47
grid2_cycle1_run14,8
grid2_cycle2_run14,35
grid2_cycle3_run14,34
grid2_cycle4_run14,72
grid2_cycle5_run14,91
grid2_cycle1_run15,1
grid2_cycle2_run15,10
grid2_cycle3_run15,50
grid2_cycle4_run15,93
grid2_cycle5_run15,85
grid2_cycle1_run16,25
grid2_cycle2_run16,40
grid2_cycle3_run16,85
grid2_cycle4_run16,88
grid2_cycle5_run16,86
grid2_cycle1_run17,4
grid2_cycle2_run17,35
grid2_cycle3_run17,42
grid2_cycle4_run17,94
grid2_cycle5_run17,91
grid2_cycle1_run18,0
grid2_cycle2_run18,44
grid2_cycle3_run18,57
grid2_cycle4_run18,82
grid2_cycle5_run18,85
grid2_cycle1_run19,15
grid2_cycle2_run19,31
grid2_cycle3_run19,44
grid2_cycle4_run19,75
grid2_cycle5_run19,90
grid2_cycle1_run20,21
grid2_cycle2_run20,56
grid2_cycle3_run20,41
grid2_cycle4_run20,82
grid2_cycle5_run20,87
grid2_cycle1_run21,77
grid2_cycle2_run21,56
grid2_cycle3_run21,80
grid2_cycle4_run21,85
grid2_cycle5_run21,87
grid2_cycle1_run22,6
grid2_cycle2_run22,21
grid2_cycle3_run22,83
grid2_cycle4_run22,85
grid2_cycle5_run22,79
grid2_cycle1_run23,16
grid2_cycle2_run23,39
grid2_cycle3_run23,71
grid2_cycle4_run23,86
grid2_cycle5_run23,87
grid2_cycle1_run24,21
grid2_cycle2_run24,45
grid2_cycle3_run24,59
grid2_cycle4_run24,92
grid2_cycle5_run24,96
grid2_cycle1_run25,15
grid2_cycle2_run25,1
grid2_cycle3_run25,48
grid2_cycle4_run25,86
grid2_cycle5_run25,81
grid2_cycle1_run26,0
grid2_cycle2_run26,4
grid2_cycle3_run26,24
grid2_cycle4_run26,78
grid2_cycle5_run26,71
grid2_cycle1_run27,48
grid2_cycle2_run27,54
grid2_cycle3_run27,83
grid2_cycle4_run27,89
grid2_cycle5_run27,88
grid2_cycle1_run28,0
