,0
grid0_cycle1_run0,217386
grid0_cycle2_run0,279492
grid0_cycle3_run0,264156
grid0_cycle4_run0,264156
grid0_cycle5_run0,272154
grid0_cycle1_run1,271278
grid0_cycle2_run1,263946
grid0_cycle3_run1,263946
grid0_cycle4_run1,263946
grid0_cycle5_run1,263946
grid0_cycle1_run2,263514
grid0_cycle2_run2,263514
grid0_cycle3_run2,263514
grid0_cycle4_run2,263514
grid0_cycle5_run2,279930
grid0_cycle1_run3,263946
grid0_cycle2_run3,263946
grid0_cycle3_run3,263946
grid0_cycle4_run3,263946
grid0_cycle5_run3,263946
grid0_cycle1_run4,279060
grid0_cycle2_run4,271938
grid0_cycle3_run4,271938
grid0_cycle4_run4,271938
grid0_cycle5_run4,271938
grid0_cycle1_run5,270210
grid0_cycle2_run5,270210
grid0_cycle3_run5,271068
grid0_cycle4_run5,263946
grid0_cycle5_run5,272154
grid0_cycle1_run6,271290
grid0_cycle2_run6,271290
grid0_cycle3_run6,271290
grid0_cycle4_run6,279498
grid0_cycle5_run6,279498
grid0_cycle1_run7,264378
grid0_cycle2_run7,264378
grid0_cycle3_run7,264378
grid0_cycle4_run7,264378
grid0_cycle5_run7,264378
grid0_cycle1_run8,263298
grid0_cycle2_run8,263298
grid0_cycle3_run8,263298
grid0_cycle4_run8,263298
grid0_cycle5_run8,263298
grid0_cycle1_run9,263940
grid0_cycle2_run9,263940
grid0_cycle3_run9,263940
grid0_cycle4_run9,263940
grid0_cycle5_run9,263940
grid0_cycle1_run10,279060
grid0_cycle2_run10,279060
grid0_cycle3_run10,271722
grid0_cycle4_run10,271722
grid0_cycle5_run10,271722
grid0_cycle1_run11,271722
grid0_cycle2_run11,271938
grid0_cycle3_run11,263730
grid0_cycle4_run11,263730
grid0_cycle5_run11,263730
grid0_cycle1_run12,269988
grid0_cycle2_run12,269988
grid0_cycle3_run12,271722
grid0_cycle4_run12,263514
grid0_cycle5_run12,271074
grid0_cycle1_run13,279714
grid0_cycle2_run13,279714
grid0_cycle3_run13,279714
grid0_cycle4_run13,255954
grid0_cycle5_run13,255954
grid0_cycle1_run14,263298
grid0_cycle2_run14,263298
grid0_cycle3_run14,263298
grid0_cycle4_run14,272154
grid0_cycle5_run14,279498
grid0_cycle1_run15,272154
grid0_cycle2_run15,272154
grid0_cycle3_run15,272154
grid0_cycle4_run15,272154
grid0_cycle5_run15,272154
grid0_cycle1_run16,271074
grid0_cycle2_run16,271074
grid0_cycle3_run16,271074
grid0_cycle4_run16,271074
grid0_cycle5_run16,271074
grid0_cycle1_run17,279930
grid0_cycle2_run17,279930
grid0_cycle3_run17,279930
grid0_cycle4_run17,279930
grid0_cycle5_run17,279930
grid0_cycle1_run18,279492
grid0_cycle2_run18,271938
grid0_cycle3_run18,271938
grid0_cycle4_run18,279930
grid0_cycle5_run18,271506
grid0_cycle1_run19,263730
grid0_cycle2_run19,263730
grid0_cycle3_run19,263730
grid0_cycle4_run19,271506
grid0_cycle5_run19,270426
grid0_cycle1_run20,271062
grid0_cycle2_run20,271062
grid0_cycle3_run20,279930
grid0_cycle4_run20,279930
grid0_cycle5_run20,271290
grid0_cycle1_run21,279060
grid0_cycle2_run21,279060
grid0_cycle3_run21,279282
grid0_cycle4_run21,271722
grid0_cycle5_run21,271722
grid0_cycle1_run22,264162
grid0_cycle2_run22,264162
grid0_cycle3_run22,264162
grid0_cycle4_run22,264162
grid0_cycle5_run22,271938
grid0_cycle1_run23,272148
grid0_cycle2_run23,272148
grid0_cycle3_run23,272148
grid0_cycle4_run23,272148
grid0_cycle5_run23,272148
grid0_cycle1_run24,263946
grid0_cycle2_run24,263946
grid0_cycle3_run24,263946
grid0_cycle4_run24,263946
grid0_cycle5_run24,263946
grid0_cycle1_run25,279282
grid0_cycle2_run25,279282
grid0_cycle3_run25,279498
grid0_cycle4_run25,279498
grid0_cycle5_run25,279498
grid0_cycle1_run26,254658
grid0_cycle2_run26,271500
grid0_cycle3_run26,271500
grid0_cycle4_run26,271074
grid0_cycle5_run26,271074
grid0_cycle1_run27,263724
grid0_cycle2_run27,263940
grid0_cycle3_run27,271722
grid0_cycle4_run27,271722
grid0_cycle5_run27,271722
grid0_cycle1_run28,271290
grid0_cycle2_run28,271290
grid0_cycle3_run28,271290
grid0_cycle4_run28,271290
grid0_cycle5_run28,271290
grid0_cycle1_run29,263292
grid0_cycle2_run29,279930
grid0_cycle3_run29,279492
grid0_cycle4_run29,255954
grid0_cycle5_run29,271722
grid1_cycle1_run0,279714
grid1_cycle2_run0,279714
grid1_cycle3_run0,279714
grid1_cycle4_run0,279714
grid1_cycle5_run0,279714
grid1_cycle1_run1,279714
grid1_cycle2_run1,279714
grid1_cycle3_run1,272154
grid1_cycle4_run1,263730
grid1_cycle5_run1,263730
grid1_cycle1_run2,271290
grid1_cycle2_run2,271290
grid1_cycle3_run2,279282
grid1_cycle4_run2,279282
grid1_cycle5_run2,279282
grid1_cycle1_run3,264378
grid1_cycle2_run3,264378
grid1_cycle3_run3,264378
grid1_cycle4_run3,264378
grid1_cycle5_run3,264378
grid1_cycle1_run4,279498
grid1_cycle2_run4,279498
grid1_cycle3_run4,279498
grid1_cycle4_run4,279498
grid1_cycle5_run4,279498
grid1_cycle1_run5,271290
grid1_cycle2_run5,271290
grid1_cycle3_run5,271290
grid1_cycle4_run5,271290
grid1_cycle5_run5,272154
grid1_cycle1_run6,278418
grid1_cycle2_run6,279282
grid1_cycle3_run6,279282
grid1_cycle4_run6,279282
grid1_cycle5_run6,279282
grid1_cycle1_run7,272154
grid1_cycle2_run7,272154
grid1_cycle3_run7,272154
grid1_cycle4_run7,272154
grid1_cycle5_run7,271722
grid1_cycle1_run8,279498
grid1_cycle2_run8,279498
grid1_cycle3_run8,279498
grid1_cycle4_run8,279498
grid1_cycle5_run8,279498
grid1_cycle1_run9,271716
grid1_cycle2_run9,279714
grid1_cycle3_run9,279714
grid1_cycle4_run9,279714
grid1_cycle5_run9,279714
grid1_cycle1_run10,271722
grid1_cycle2_run10,271722
grid1_cycle3_run10,278850
grid1_cycle4_run10,278850
grid1_cycle5_run10,278850
grid1_cycle1_run11,271722
grid1_cycle2_run11,271722
grid1_cycle3_run11,271722
grid1_cycle4_run11,264162
grid1_cycle5_run11,264162
grid1_cycle1_run12,271722
grid1_cycle2_run12,271722
grid1_cycle3_run12,271722
grid1_cycle4_run12,271722
grid1_cycle5_run12,271722
grid1_cycle1_run13,279066
grid1_cycle2_run13,279498
grid1_cycle3_run13,279498
grid1_cycle4_run13,279498
grid1_cycle5_run13,279498
grid1_cycle1_run14,263730
grid1_cycle2_run14,263730
grid1_cycle3_run14,263946
grid1_cycle4_run14,263946
grid1_cycle5_run14,263946
grid1_cycle1_run15,278850
grid1_cycle2_run15,264162
grid1_cycle3_run15,264162
grid1_cycle4_run15,264162
grid1_cycle5_run15,264162
grid1_cycle1_run16,271722
grid1_cycle2_run16,271722
grid1_cycle3_run16,271722
grid1_cycle4_run16,271722
grid1_cycle5_run16,271722
grid1_cycle1_run17,278850
grid1_cycle2_run17,278850
grid1_cycle3_run17,278850
grid1_cycle4_run17,278850
grid1_cycle5_run17,278850
grid1_cycle1_run18,279714
grid1_cycle2_run18,279714
grid1_cycle3_run18,279714
grid1_cycle4_run18,271722
grid1_cycle5_run18,271722
grid1_cycle1_run19,256386
grid1_cycle2_run19,279714
grid1_cycle3_run19,271938
grid1_cycle4_run19,279282
grid1_cycle5_run19,279282
grid1_cycle1_run20,271938
grid1_cycle2_run20,271938
grid1_cycle3_run20,271938
grid1_cycle4_run20,271938
grid1_cycle5_run20,271938
grid1_cycle1_run21,262866
grid1_cycle2_run21,262866
grid1_cycle3_run21,262866
grid1_cycle4_run21,262866
grid1_cycle5_run21,263730
grid1_cycle1_run22,271938
grid1_cycle2_run22,271938
grid1_cycle3_run22,271938
grid1_cycle4_run22,271938
grid1_cycle5_run22,271938
grid1_cycle1_run23,271938
grid1_cycle2_run23,271938
grid1_cycle3_run23,263730
grid1_cycle4_run23,279714
grid1_cycle5_run23,279714
grid1_cycle1_run24,271722
grid1_cycle2_run24,271722
grid1_cycle3_run24,271722
grid1_cycle4_run24,264162
grid1_cycle5_run24,264162
grid1_cycle1_run25,271722
grid1_cycle2_run25,271722
grid1_cycle3_run25,271722
grid1_cycle4_run25,271722
grid1_cycle5_run25,271722
grid1_cycle1_run26,263730
grid1_cycle2_run26,263730
grid1_cycle3_run26,263730
grid1_cycle4_run26,271722
grid1_cycle5_run26,271722
grid1_cycle1_run27,263730
grid1_cycle2_run27,263730
grid1_cycle3_run27,263730
grid1_cycle4_run27,263730
grid1_cycle5_run27,263730
grid1_cycle1_run28,271074
grid1_cycle2_run28,263730
grid1_cycle3_run28,263730
grid1_cycle4_run28,263730
grid1_cycle5_run28,263730
grid1_cycle1_run29,279066
grid1_cycle2_run29,279066
grid1_cycle3_run29,279066
grid1_cycle4_run29,279066
grid1_cycle5_run29,279066
grid2_cycle1_run0,255504
grid2_cycle2_run0,278418
grid2_cycle3_run0,271290
grid2_cycle4_run0,271290
grid2_cycle5_run0,271290
grid2_cycle1_run1,262860
grid2_cycle2_run1,256380
grid2_cycle3_run1,279930
grid2_cycle4_run1,264162
grid2_cycle5_run1,271938
grid2_cycle1_run2,272154
grid2_cycle2_run2,272154
grid2_cycle3_run2,272154
grid2_cycle4_run2,263946
grid2_cycle5_run2,263946
