,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle1_run0,240870,248646,256422,264198,271974,240906,248682,256458,271968,264234,279750,279744,279738,279732,272010,240871,248647,256423,279726,264192
grid0_cycle2_run0,278850,279066,279282,279498,279714,279930,278844,279060,279276,279492,279708,278838,279054,279270,279924,279486,279702,278832,279048,279918
grid0_cycle3_run0,278844,278838,278832,279060,279054,278826,278850,279048,271074,278820,279066,271290,279042,279276,279036,279282,279270,263298,271506,279264
grid0_cycle4_run0,271938,271722,271506,272154,264162,271932,263946,271716,271290,264378,271926,271500,272148,263730,271710,271074,272142,264156,271920,271494
grid0_cycle5_run0,271074,271290,279714,279498,279282,279066,278850,271506,271722,271938,271932,279708,279930,271716,279492,271500,272154,279924,271284,279276
grid0_cycle1_run1,271290,271506,271074,263514,271722,263298,263730,271938,263946,255738,255522,279282,255954,264162,279066,279498,272154,264378,278850,256170
grid0_cycle2_run1,271908,271914,271920,264132,272124,271926,264138,272130,271932,264144,264150,271692,271698,272136,271704,264156,256356,271710,256362,263916
grid0_cycle3_run1,271722,271938,271506,271290,271074,264162,263946,263730,272148,263514,271932,272142,279708,279702,263298,279492,279486,271716,279696,271926
grid0_cycle4_run1,271938,271722,271506,271290,271074,264162,263946,272154,263730,279708,271686,270636,271470,271932,279492,279276,263514,271716,270420,264378
grid0_cycle5_run1,279930,272154,271938,271722,271506,271290,279924,272118,271074,271932,279708,271716,272148,279714,264378,279492,264162,263946,271500,279498
grid0_cycle1_run2,241050,248826,256602,240822,240828,241044,240606,248604,240600,248598,240816,264378,240384,248382,240612,248820,240378,248376,248388,240390
grid0_cycle2_run2,271938,271722,279918,272154,279924,271506,271290,271074,271932,279912,271716,279702,271500,279930,271284,279708,279696,279486,279480,271068
grid0_cycle3_run2,35177,35183,278850,36479,27401,35189,36485,279066,36473,35195,36491,83141,19589,36497,35393,83135,27407,83147,83129,19553
grid0_cycle4_run2,279930,279714,271074,279498,279924,271290,279282,279918,270852,279066,279708,271068,278850,272154,279492,272148,272118,279276,279702,271506
grid0_cycle5_run2,278850,279066,279282,279498,279714,279930,271074,271290,278844,271506,279060,271722,279276,263298,263514,271938,279492,278838,263730,279708
grid0_cycle1_run3,271722,271938,263730,263514,271506,263946,263298,271932,271716,272148,263940,255522,263724,264156,271926,271500,264162,255738,263508,263292
grid0_cycle2_run3,279930,271506,271722,279714,279708,271500,271716,271290,263724,271938,263730,263508,279924,279702,271932,263514,263940,279492,279498,271074
grid0_cycle3_run3,279714,279498,279282,279708,279492,279930,279702,279066,279486,271074,279276,271290,278850,279270,271506,279696,279480,279924,279060,271068
grid0_cycle4_run3,279930,279714,271938,271722,271506,279498,271290,271074,279708,271716,271500,279282,264162,263946,271284,263730,279702,279924,271932,279492
grid0_cycle5_run3,279930,279924,279714,279498,271290,271506,271074,271722,271938,279282,271932,279918,271716,263298,264156,272148,263514,263940,263730,263724
grid0_cycle1_run4,278832,279048,279264,279480,278826,279042,279696,271068,279258,271032,270642,271284,279474,278820,269742,278838,279054,271248,279270,279486
grid0_cycle2_run4,279282,279498,279066,279714,278850,279708,279492,279276,279060,271938,269958,278844,270174,269742,271722,262182,271500,261966,271284,271068
grid0_cycle3_run4,271074,271290,279714,271506,279498,271068,271284,271500,271716,279282,271932,263298,271278,271494,271062,271710,263514,279930,271722,279708
grid0_cycle4_run4,279708,279498,279714,279282,279492,279066,279276,272148,271068,271284,271074,271290,269772,278850,271500,271506,279702,269988,269766,279486
grid0_cycle5_run4,271938,272154,271722,271506,277548,271290,277764,269988,270204,269772,272148,270210,271074,269994,270426,269778,270420,270642,277980,271932
grid0_cycle1_run5,279714,279708,279498,279702,279715,279492,279696,279486,279282,279499,271938,279690,279709,279480,271722,279678,279703,279276,279684,426
grid0_cycle2_run5,279924,279918,272136,279912,272130,279888,264354,272142,272124,264348,272106,272100,264360,279852,272070,279882,264324,272064,256572,279906
grid0_cycle3_run5,279930,279714,271290,271074,271506,271722,263298,279498,263514,271938,263730,279282,263946,279066,278850,264162,279924,271500,271284,271716
grid0_cycle4_run5,271722,271938,271506,279498,279714,279282,271716,271500,271932,271290,279066,271284,271074,271710,271494,278850,271926,263946,271068,264162
grid0_cycle5_run5,279930,279714,279498,279282,279066,278850,271722,271506,271938,271290,271074,272154,271932,271716,271500,271284,271068,272148,279894,271926
grid0_cycle1_run6,256164,263724,263940,255948,248388,263718,271500,248604,256380,255942,240612,263502,240828,248172,263508,271716,256158,271278,271494,271284
grid0_cycle2_run6,279930,279714,279498,279282,279066,278850,279924,272154,279894,279918,271938,279912,271722,279708,279931,263076,271506,279492,279906,272148
grid0_cycle3_run6,272154,278850,279066,264378,279282,271938,279498,271722,279714,278844,279060,279276,279492,271506,279708,279924,271290,271074,278838,279054
grid0_cycle4_run6,272154,264378,271938,271722,279930,271506,271290,271074,279714,279498,264372,272148,279282,279066,278850,264162,264366,271932,264156,271716
grid0_cycle5_run6,279930,279714,279498,279282,279924,279931,279066,278850,279918,272154,279708,279912,279492,264378,279715,279702,279906,279276,279486,279900
grid0_cycle1_run7,271938,271932,271926,272154,271722,271920,264156,270852,263940,270846,271716,270840,271927,264150,271710,270858,271933,272148,263076,264378
