,0
grid0_cycle1_run0,0
grid0_cycle2_run0,51
grid0_cycle3_run0,48
grid0_cycle4_run0,54
grid0_cycle5_run0,49
grid0_cycle1_run1,38
grid0_cycle2_run1,35
grid0_cycle3_run1,62
grid0_cycle4_run1,61
grid0_cycle5_run1,67
grid0_cycle1_run2,17
grid0_cycle2_run2,43
grid0_cycle3_run2,7
grid0_cycle4_run2,49
grid0_cycle5_run2,59
grid0_cycle1_run3,46
grid0_cycle2_run3,53
grid0_cycle3_run3,50
grid0_cycle4_run3,58
grid0_cycle5_run3,70
grid0_cycle1_run4,28
grid0_cycle2_run4,42
grid0_cycle3_run4,56
grid0_cycle4_run4,51
grid0_cycle5_run4,69
grid0_cycle1_run5,18
grid0_cycle2_run5,6
grid0_cycle3_run5,60
grid0_cycle4_run5,60
grid0_cycle5_run5,52
grid0_cycle1_run6,32
grid0_cycle2_run6,45
grid0_cycle3_run6,52
grid0_cycle4_run6,54
grid0_cycle5_run6,43
grid0_cycle1_run7,40
grid0_cycle2_run7,47
grid0_cycle3_run7,64
grid0_cycle4_run7,53
grid0_cycle5_run7,56
grid0_cycle1_run8,26
grid0_cycle2_run8,39
grid0_cycle3_run8,43
grid0_cycle4_run8,69
grid0_cycle5_run8,64
grid0_cycle1_run9,23
grid0_cycle2_run9,52
grid0_cycle3_run9,65
grid0_cycle4_run9,72
grid0_cycle5_run9,74
grid0_cycle1_run10,34
grid0_cycle2_run10,32
grid0_cycle3_run10,58
grid0_cycle4_run10,78
grid0_cycle5_run10,66
grid0_cycle1_run11,44
grid0_cycle2_run11,60
grid0_cycle3_run11,61
grid0_cycle4_run11,69
grid0_cycle5_run11,60
grid0_cycle1_run12,35
grid0_cycle2_run12,38
grid0_cycle3_run12,51
grid0_cycle4_run12,55
grid0_cycle5_run12,34
grid0_cycle1_run13,28
grid0_cycle2_run13,44
grid0_cycle3_run13,51
grid0_cycle4_run13,47
grid0_cycle5_run13,61
grid0_cycle1_run14,47
grid0_cycle2_run14,42
grid0_cycle3_run14,59
grid0_cycle4_run14,69
grid0_cycle5_run14,59
grid0_cycle1_run15,0
grid0_cycle2_run15,39
grid0_cycle3_run15,56
grid0_cycle4_run15,56
grid0_cycle5_run15,49
grid0_cycle1_run16,47
grid0_cycle2_run16,44
grid0_cycle3_run16,68
grid0_cycle4_run16,71
grid0_cycle5_run16,66
grid0_cycle1_run17,42
grid0_cycle2_run17,68
grid0_cycle3_run17,52
grid0_cycle4_run17,78
grid0_cycle5_run17,61
grid0_cycle1_run18,49
grid0_cycle2_run18,44
grid0_cycle3_run18,52
grid0_cycle4_run18,65
grid0_cycle5_run18,68
grid0_cycle1_run19,56
grid0_cycle2_run19,51
grid0_cycle3_run19,61
grid0_cycle4_run19,70
grid0_cycle5_run19,66
grid0_cycle1_run20,32
grid0_cycle2_run20,52
grid0_cycle3_run20,34
grid0_cycle4_run20,62
grid0_cycle5_run20,64
grid0_cycle1_run21,13
grid0_cycle2_run21,35
grid0_cycle3_run21,56
grid0_cycle4_run21,67
grid0_cycle5_run21,64
grid0_cycle1_run22,51
grid0_cycle2_run22,62
grid0_cycle3_run22,64
grid0_cycle4_run22,64
grid0_cycle5_run22,62
grid0_cycle1_run23,41
grid0_cycle2_run23,53
grid0_cycle3_run23,51
grid0_cycle4_run23,64
grid0_cycle5_run23,73
grid0_cycle1_run24,67
grid0_cycle2_run24,52
grid0_cycle3_run24,65
grid0_cycle4_run24,58
grid0_cycle5_run24,63
grid0_cycle1_run25,43
grid0_cycle2_run25,41
grid0_cycle3_run25,71
grid0_cycle4_run25,66
grid0_cycle5_run25,74
grid0_cycle1_run26,46
grid0_cycle2_run26,40
grid0_cycle3_run26,57
grid0_cycle4_run26,68
grid0_cycle5_run26,60
grid0_cycle1_run27,49
grid0_cycle2_run27,42
grid0_cycle3_run27,47
grid0_cycle4_run27,61
grid0_cycle5_run27,62
grid0_cycle1_run28,48
grid0_cycle2_run28,52
grid0_cycle3_run28,66
grid0_cycle4_run28,45
grid0_cycle5_run28,40
grid0_cycle1_run29,52
grid0_cycle2_run29,58
grid0_cycle3_run29,79
grid0_cycle4_run29,68
grid0_cycle5_run29,66
grid1_cycle1_run0,50
grid1_cycle2_run0,71
grid1_cycle3_run0,50
grid1_cycle4_run0,81
grid1_cycle5_run0,81
grid1_cycle1_run1,63
grid1_cycle2_run1,70
grid1_cycle3_run1,52
grid1_cycle4_run1,73
grid1_cycle5_run1,62
grid1_cycle1_run2,69
grid1_cycle2_run2,72
grid1_cycle3_run2,64
grid1_cycle4_run2,55
grid1_cycle5_run2,74
grid1_cycle1_run3,54
grid1_cycle2_run3,64
grid1_cycle3_run3,66
grid1_cycle4_run3,67
grid1_cycle5_run3,83
grid1_cycle1_run4,45
grid1_cycle2_run4,80
grid1_cycle3_run4,83
grid1_cycle4_run4,47
grid1_cycle5_run4,71
grid1_cycle1_run5,57
grid1_cycle2_run5,64
grid1_cycle3_run5,56
grid1_cycle4_run5,50
grid1_cycle5_run5,67
grid1_cycle1_run6,57
grid1_cycle2_run6,56
grid1_cycle3_run6,71
grid1_cycle4_run6,74
grid1_cycle5_run6,67
grid1_cycle1_run7,66
grid1_cycle2_run7,69
grid1_cycle3_run7,64
grid1_cycle4_run7,68
grid1_cycle5_run7,67
grid1_cycle1_run8,61
grid1_cycle2_run8,64
grid1_cycle3_run8,41
grid1_cycle4_run8,68
grid1_cycle5_run8,70
grid1_cycle1_run9,53
grid1_cycle2_run9,60
grid1_cycle3_run9,55
grid1_cycle4_run9,63
grid1_cycle5_run9,78
