,0
grid0_cycle1_run0,276235
grid0_cycle2_run0,232098
grid0_cycle3_run0,279696
grid0_cycle4_run0,279696
grid0_cycle5_run0,278850
grid0_cycle1_run1,268896
grid0_cycle2_run1,262170
grid0_cycle3_run1,271710
grid0_cycle4_run1,271710
grid0_cycle5_run1,271710
grid0_cycle1_run2,263292
grid0_cycle2_run2,263292
grid0_cycle3_run2,263292
grid0_cycle4_run2,263292
grid0_cycle5_run2,263292
grid0_cycle1_run3,279672
grid0_cycle2_run3,255306
grid0_cycle3_run3,254868
grid0_cycle4_run3,254874
grid0_cycle5_run3,254874
grid0_cycle1_run4,255732
grid0_cycle2_run4,255732
grid0_cycle3_run4,263508
grid0_cycle4_run4,263508
grid0_cycle5_run4,271074
grid0_cycle1_run5,278628
grid0_cycle2_run5,278628
grid0_cycle3_run5,278628
grid0_cycle4_run5,278628
grid0_cycle5_run5,278628
grid0_cycle1_run6,269988
grid0_cycle2_run6,269988
grid0_cycle3_run6,269988
grid0_cycle4_run6,255726
grid0_cycle5_run6,255726
grid0_cycle1_run7,262428
grid0_cycle2_run7,262644
grid0_cycle3_run7,255738
grid0_cycle4_run7,255738
grid0_cycle5_run7,255738
grid0_cycle1_run8,279714
grid0_cycle2_run8,279714
grid0_cycle3_run8,279714
grid0_cycle4_run8,271722
grid0_cycle5_run8,271722
grid0_cycle1_run9,270858
grid0_cycle2_run9,264162
grid0_cycle3_run9,264162
grid0_cycle4_run9,264162
grid0_cycle5_run9,279282
grid0_cycle1_run10,263496
grid0_cycle2_run10,254220
grid0_cycle3_run10,271500
grid0_cycle4_run10,271500
grid0_cycle5_run10,271500
grid0_cycle1_run11,263946
grid0_cycle2_run11,263946
grid0_cycle3_run11,263946
grid0_cycle4_run11,263946
grid0_cycle5_run11,263946
grid0_cycle1_run12,279894
grid0_cycle2_run12,279894
grid0_cycle3_run12,278202
grid0_cycle4_run12,278202
grid0_cycle5_run12,263076
grid0_cycle1_run13,269778
grid0_cycle2_run13,264156
grid0_cycle3_run13,278850
grid0_cycle4_run13,278850
grid0_cycle5_run13,278850
grid0_cycle1_run14,279924
grid0_cycle2_run14,279924
grid0_cycle3_run14,279924
grid0_cycle4_run14,263514
grid0_cycle5_run14,255738
grid0_cycle1_run15,279486
grid0_cycle2_run15,279486
grid0_cycle3_run15,279486
grid0_cycle4_run15,262866
grid0_cycle5_run15,262866
grid0_cycle1_run16,277908
grid0_cycle2_run16,262176
grid0_cycle3_run16,269772
grid0_cycle4_run16,256386
grid0_cycle5_run16,256386
grid0_cycle1_run17,279018
grid0_cycle2_run17,271074
grid0_cycle3_run17,271074
grid0_cycle4_run17,271074
grid0_cycle5_run17,271074
grid0_cycle1_run18,270822
grid0_cycle2_run18,270822
grid0_cycle3_run18,270822
grid0_cycle4_run18,262212
grid0_cycle5_run18,262212
grid0_cycle1_run19,264126
grid0_cycle2_run19,264150
grid0_cycle3_run19,256170
grid0_cycle4_run19,256170
grid0_cycle5_run19,256170
grid0_cycle1_run20,278202
grid0_cycle2_run20,278202
grid0_cycle3_run20,278202
grid0_cycle4_run20,278202
grid0_cycle5_run20,278202
grid0_cycle1_run21,253782
grid0_cycle2_run21,255936
grid0_cycle3_run21,255936
grid0_cycle4_run21,271938
grid0_cycle5_run21,271938
grid0_cycle1_run22,270204
grid0_cycle2_run22,270852
grid0_cycle3_run22,270852
grid0_cycle4_run22,270852
grid0_cycle5_run22,270852
grid0_cycle1_run23,253314
grid0_cycle2_run23,253314
grid0_cycle3_run23,279234
grid0_cycle4_run23,277536
grid0_cycle5_run23,255948
grid0_cycle1_run24,262182
grid0_cycle2_run24,262182
grid0_cycle3_run24,279276
grid0_cycle4_run24,270852
grid0_cycle5_run24,270852
grid0_cycle1_run25,278418
grid0_cycle2_run25,278418
grid0_cycle3_run25,272154
grid0_cycle4_run25,272154
grid0_cycle5_run25,272154
grid0_cycle1_run26,255516
grid0_cycle2_run26,255516
grid0_cycle3_run26,255516
grid0_cycle4_run26,255516
grid0_cycle5_run26,279714
grid0_cycle1_run27,279486
grid0_cycle2_run27,279486
grid0_cycle3_run27,277980
grid0_cycle4_run27,272154
grid0_cycle5_run27,272154
grid0_cycle1_run28,263718
