,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle1_run0,263250,262386,216594,167562,169110,215298,214218,215730,260694,214254,263718,215766,168678,263502,169074,170190,217026,169938,260658,214434
grid0_cycle2_run0,232104,232752,232536,278760,279408,279192,232554,232770,232968,232110,233184,279210,279426,232758,232542,279624,232986,232122,278766,233202
grid0_cycle3_run0,272148,272154,272112,271932,279924,272118,271938,279930,279888,271896,272142,279708,279894,271902,279714,272106,271926,279672,279918,272076
grid0_cycle4_run0,271932,271722,271716,271938,271506,271290,271284,271500,271926,271710,271494,271278,279486,279270,279054,279702,225066,225276,225282,225060
grid0_cycle5_run0,278850,279498,279714,279930,279282,279066,277554,271074,278634,278202,277986,278418,277770,271722,271506,271290,271938,272154,263298,264378
grid0_cycle1_run1,269766,271062,268470,277542,278838,276246,223110,224406,221814,230886,269772,232182,229590,269982,271068,271278,268476,277548,268686,277758
grid0_cycle2_run1,269766,269982,277542,270198,277758,277974,269730,269946,268470,268902,271062,268686,271278,277506,269760,270162,277722,269976,276246,276678
grid0_cycle3_run1,263718,271068,263724,263280,263712,271494,271500,271506,271074,263514,263730,271062,263508,271056,263502,263496,263298,263292,271488,263286
grid0_cycle4_run1,270204,279060,263718,277548,277986,279054,263730,261996,262434,270210,262428,278850,277542,262212,263514,263286,279066,262218,262422,263508
grid0_cycle5_run1,232824,270624,209298,223104,255294,262434,262866,263712,255288,217074,270852,270630,263718,270636,270642,262860,263724,277752,209292,209286
grid0_cycle1_run2,264300,264084,263220,263292,263868,263652,263256,264336,264120,264372,264156,263940,263724,263904,263688,264294,263436,264078,263226,264306
grid0_cycle2_run2,263946,264378,263934,263730,263724,263718,264150,264156,264162,264366,264372,263940,217284,217290,217494,217716,217500,217506,217068,217710
grid0_cycle3_run2,263286,263298,263292,264366,263934,263718,264150,278838,271062,264372,263946,263730,263724,264156,264162,264378,263940,263502,271068,278850
grid0_cycle4_run2,271500,271290,263934,263718,263724,279714,272154,271494,279270,263730,279054,271284,279060,279276,272148,279282,279066,271926,264162,279492
grid0_cycle5_run2,272148,271074,278850,278844,262860,262866,263946,271290,278412,263940,271284,278418,277770,262002,271068,262434,272154,277764,279276,263730
grid0_cycle1_run3,279672,279456,279888,278376,278160,279678,278592,279462,279894,278382,278166,278598,279450,279666,279444,279882,278154,279240,279660,279636
grid0_cycle2_run3,279678,279888,279894,279672,278382,278376,278592,278598,256566,256350,256560,256344,255270,255054,255048,255264,272118,271902,279462,279456
grid0_cycle3_run3,255084,254868,256380,256164,279708,278412,256386,256170,255090,254874,255300,256596,279492,278196,278418,279714,270636,264156,271932,263940
grid0_cycle4_run3,256602,254442,256386,255738,255522,255954,256170,255090,254874,254658,255306,254226,278418,262650,270858,262434,278850,279714,262002,277986
grid0_cycle5_run3,278196,271506,277980,264156,256344,256350,277950,277944,264162,254184,254190,271680,271686,271716,271722,254220,262866,254226,262860,262830
grid0_cycle1_run4,279060,278844,279276,271284,271068,279924,279708,279492,271500,279888,278808,279024,279672,279456,279240,272148,271716,271932,278850,279066
grid0_cycle2_run4,279930,279924,279894,278634,279714,279066,279888,272154,279708,279060,278628,272148,279498,279282,278850,278598,279678,279276,279492,278844
grid0_cycle3_run4,271284,263508,264372,271290,263514,272148,271500,271068,263724,271716,264378,263292,263940,271932,264156,272154,271506,271074,263730,263076
grid0_cycle4_run4,271284,271932,271500,271716,271290,272148,263508,271068,264372,271938,271506,271722,279060,264156,263724,263940,272154,279492,279708,279276
grid0_cycle5_run4,272148,271284,272154,279714,271506,271938,271932,279060,278844,279066,271290,278850,279276,271722,271716,279282,279708,271500,271068,279492
grid0_cycle1_run5,278628,278634,277986,277980,270852,270858,278202,278196,278412,278418,279930,279924,263076,263082,270204,270210,278592,278598,262428,262434
grid0_cycle2_run5,278412,278418,262860,270636,262866,270642,255084,278628,255090,278634,263076,270852,263082,270858,255300,255306,278196,278202,262644,277980
grid0_cycle3_run5,278628,278634,278418,278412,279930,279924,279714,279708,277764,277554,277548,277770,278622,278202,277986,277980,278196,278406,278850,279066
grid0_cycle4_run5,279498,279924,279714,278196,279708,278202,278412,278418,278628,278634,279930,279492,262866,263946,270858,270852,270642,270636,270420,264378
grid0_cycle5_run5,279492,263730,263940,271290,271506,264162,271500,271932,263946,271938,263514,279282,264156,279498,279276,263508,272154,272148,279708,271716
grid0_cycle1_run6,271284,271248,279060,279024,271290,271068,271254,271032,272112,279066,278844,279030,278808,279888,271074,271038,272118,271464,278850,263472
grid0_cycle2_run6,272142,272148,279918,279924,264366,256590,256596,264372,272154,279930,264378,256602,272106,272112,272118,279894,279888,279882,272130,272136
grid0_cycle3_run6,279930,279924,272154,279498,279714,279492,279708,279894,279918,279702,279486,272148,272118,279888,271938,271722,271716,271932,279462,279678
