,0
grid0_cycle1_run0,2
grid0_cycle2_run0,7
grid0_cycle3_run0,23
grid0_cycle4_run0,45
grid0_cycle5_run0,59
grid0_cycle1_run1,8
grid0_cycle2_run1,8
grid0_cycle3_run1,58
grid0_cycle4_run1,75
grid0_cycle5_run1,27
grid0_cycle1_run2,18
grid0_cycle2_run2,49
grid0_cycle3_run2,51
grid0_cycle4_run2,76
grid0_cycle5_run2,76
grid0_cycle1_run3,5
grid0_cycle2_run3,24
grid0_cycle3_run3,83
grid0_cycle4_run3,85
grid0_cycle5_run3,46
grid0_cycle1_run4,43
grid0_cycle2_run4,46
grid0_cycle3_run4,53
grid0_cycle4_run4,67
grid0_cycle5_run4,66
grid0_cycle1_run5,56
grid0_cycle2_run5,57
grid0_cycle3_run5,57
grid0_cycle4_run5,85
grid0_cycle5_run5,84
grid0_cycle1_run6,45
grid0_cycle2_run6,43
grid0_cycle3_run6,49
grid0_cycle4_run6,55
grid0_cycle5_run6,62
grid0_cycle1_run7,22
grid0_cycle2_run7,73
grid0_cycle3_run7,58
grid0_cycle4_run7,85
grid0_cycle5_run7,85
grid0_cycle1_run8,56
grid0_cycle2_run8,85
grid0_cycle3_run8,68
grid0_cycle4_run8,48
grid0_cycle5_run8,55
grid0_cycle1_run9,12
grid0_cycle2_run9,61
grid0_cycle3_run9,69
grid0_cycle4_run9,79
grid0_cycle5_run9,81
grid0_cycle1_run10,44
grid0_cycle2_run10,68
grid0_cycle3_run10,58
grid0_cycle4_run10,8
grid0_cycle5_run10,69
grid0_cycle1_run11,83
grid0_cycle2_run11,62
grid0_cycle3_run11,45
grid0_cycle4_run11,43
grid0_cycle5_run11,24
grid0_cycle1_run12,14
grid0_cycle2_run12,25
grid0_cycle3_run12,22
grid0_cycle4_run12,30
grid0_cycle5_run12,60
grid0_cycle1_run13,68
grid0_cycle2_run13,89
grid0_cycle3_run13,87
grid0_cycle4_run13,76
grid0_cycle5_run13,62
grid0_cycle1_run14,33
grid0_cycle2_run14,66
grid0_cycle3_run14,54
grid0_cycle4_run14,70
grid0_cycle5_run14,81
grid0_cycle1_run15,48
grid0_cycle2_run15,66
grid0_cycle3_run15,58
grid0_cycle4_run15,74
grid0_cycle5_run15,76
grid0_cycle1_run16,13
grid0_cycle2_run16,29
grid0_cycle3_run16,46
grid0_cycle4_run16,50
grid0_cycle5_run16,54
grid0_cycle1_run17,27
grid0_cycle2_run17,48
grid0_cycle3_run17,55
grid0_cycle4_run17,58
grid0_cycle5_run17,48
grid0_cycle1_run18,10
grid0_cycle2_run18,15
grid0_cycle3_run18,19
grid0_cycle4_run18,41
grid0_cycle5_run18,51
grid0_cycle1_run19,27
grid0_cycle2_run19,40
grid0_cycle3_run19,71
grid0_cycle4_run19,64
grid0_cycle5_run19,45
grid0_cycle1_run20,21
grid0_cycle2_run20,32
