,0
grid0_cycle1_run0,201252
grid0_cycle2_run0,271890
grid0_cycle3_run0,269778
grid0_cycle4_run0,278850
grid0_cycle5_run0,279930
grid0_cycle1_run1,279714
grid0_cycle2_run1,264378
grid0_cycle3_run1,264378
grid0_cycle4_run1,264378
grid0_cycle5_run1,264378
grid0_cycle1_run2,256386
grid0_cycle2_run2,256386
grid0_cycle3_run2,256386
grid0_cycle4_run2,279066
grid0_cycle5_run2,279282
grid0_cycle1_run3,263514
grid0_cycle2_run3,263514
grid0_cycle3_run3,263514
grid0_cycle4_run3,263514
grid0_cycle5_run3,279714
grid0_cycle1_run4,279714
grid0_cycle2_run4,279930
grid0_cycle3_run4,278850
grid0_cycle4_run4,278850
grid0_cycle5_run4,278850
grid0_cycle1_run5,278850
grid0_cycle2_run5,279930
grid0_cycle3_run5,279930
grid0_cycle4_run5,279930
grid0_cycle5_run5,279930
grid0_cycle1_run6,279066
grid0_cycle2_run6,279066
grid0_cycle3_run6,279714
grid0_cycle4_run6,279714
grid0_cycle5_run6,279714
grid0_cycle1_run7,279498
grid0_cycle2_run7,279498
grid0_cycle3_run7,278850
grid0_cycle4_run7,278850
grid0_cycle5_run7,279930
grid0_cycle1_run8,279918
grid0_cycle2_run8,271938
grid0_cycle3_run8,271938
grid0_cycle4_run8,271938
grid0_cycle5_run8,271938
grid0_cycle1_run9,271722
grid0_cycle2_run9,271722
grid0_cycle3_run9,271722
grid0_cycle4_run9,271290
grid0_cycle5_run9,271290
grid0_cycle1_run10,272154
grid0_cycle2_run10,279930
grid0_cycle3_run10,279930
grid0_cycle4_run10,279930
grid0_cycle5_run10,279930
grid0_cycle1_run11,272154
grid0_cycle2_run11,279066
grid0_cycle3_run11,271938
grid0_cycle4_run11,271938
grid0_cycle5_run11,256386
grid0_cycle1_run12,279930
grid0_cycle2_run12,279930
grid0_cycle3_run12,279930
grid0_cycle4_run12,279930
grid0_cycle5_run12,279930
grid0_cycle1_run13,279498
grid0_cycle2_run13,279930
grid0_cycle3_run13,271722
grid0_cycle4_run13,271722
grid0_cycle5_run13,271722
grid0_cycle1_run14,279498
grid0_cycle2_run14,279498
grid0_cycle3_run14,279498
grid0_cycle4_run14,271506
grid0_cycle5_run14,271506
grid0_cycle1_run15,264378
grid0_cycle2_run15,272154
grid0_cycle3_run15,278850
grid0_cycle4_run15,271290
grid0_cycle5_run15,271290
grid0_cycle1_run16,264162
grid0_cycle2_run16,279066
grid0_cycle3_run16,279066
grid0_cycle4_run16,279066
grid0_cycle5_run16,279066
grid0_cycle1_run17,264162
grid0_cycle2_run17,271722
grid0_cycle3_run17,271722
grid0_cycle4_run17,271722
grid0_cycle5_run17,279714
grid0_cycle1_run18,264162
grid0_cycle2_run18,264162
grid0_cycle3_run18,264162
grid0_cycle4_run18,264162
grid0_cycle5_run18,264162
grid0_cycle1_run19,279930
grid0_cycle2_run19,279930
grid0_cycle3_run19,279930
grid0_cycle4_run19,279930
grid0_cycle5_run19,279930
grid0_cycle1_run20,279714
grid0_cycle2_run20,279714
grid0_cycle3_run20,279930
grid0_cycle4_run20,279930
grid0_cycle5_run20,279930
grid0_cycle1_run21,264162
grid0_cycle2_run21,278850
grid0_cycle3_run21,279714
grid0_cycle4_run21,279714
grid0_cycle5_run21,279714
grid0_cycle1_run22,279066
grid0_cycle2_run22,279498
grid0_cycle3_run22,279498
grid0_cycle4_run22,279714
grid0_cycle5_run22,279714
grid0_cycle1_run23,271722
grid0_cycle2_run23,271722
grid0_cycle3_run23,271722
grid0_cycle4_run23,271722
grid0_cycle5_run23,271722
grid0_cycle1_run24,279066
grid0_cycle2_run24,279066
grid0_cycle3_run24,279066
