,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle1_run0,239970,240186,247746,247962,240402,255522,248178,240618,255738,248394,239934,263298,240834,255954,239971,240150,263514,247710,240187,239898
grid0_cycle2_run0,279930,272154,264378,256602,248826,279931,241050,272155,264379,256603,279714,248827,241051,279498,271938,279894,264162,279924,256386,279282
grid0_cycle3_run0,279930,279714,279498,279282,279066,278850,279931,279715,279499,279283,279067,278851,272154,279894,271938,271722,279678,271506,279462,271290
grid0_cycle4_run0,278850,279066,279282,279498,279714,279930,278851,279067,278844,279060,279283,278814,279276,279499,279030,279492,279715,278838,279246,279054
grid0_cycle5_run0,278850,279066,279282,279498,279714,279930,278851,279067,279283,278844,279499,279060,279715,279276,279492,278838,279054,279708,279270,279486
grid0_cycle1_run1,241050,248826,240834,240618,240402,240186,248610,239970,248394,248178,256602,247962,247746,256386,256170,255954,264378,255738,255522,264162
grid0_cycle2_run1,278850,279066,279282,279498,279714,279930,271074,271290,271506,271722,271938,272154,278814,279030,279246,279462,279678,278844,279060,279276
grid0_cycle3_run1,279930,279714,279498,279282,279066,278850,272154,271938,271722,271506,264378,271290,271074,264162,263946,263730,256602,263514,263298,256386
grid0_cycle4_run1,279930,279714,279498,279282,279066,278850,272154,271938,271722,271506,271290,271074,264378,264162,263946,263730,263514,263298,256602,256386
grid0_cycle5_run1,279930,279714,279498,279282,279066,278850,272154,271938,264378,271722,271506,279924,271290,271074,264162,256602,263946,279894,279708,263730
grid0_cycle1_run2,279930,279714,279498,279282,279066,278850,279924,279708,279492,279276,279060,278844,272154,271938,271722,271506,271290,271074,279918,279702
grid0_cycle2_run2,278850,279066,279282,279498,279714,279930,278844,279060,271074,279276,271290,279492,271506,279708,271722,271938,279924,272154,278838,279054
grid0_cycle3_run2,279930,279714,279498,279282,279066,278850,279924,279708,279492,279276,279060,278844,272154,271938,271722,271506,271290,271074,279894,279678
grid0_cycle4_run2,279930,279714,279498,279282,279066,278850,272154,279924,271938,279708,271722,279492,271506,279276,271290,279060,271074,278844,264378,279918
grid0_cycle5_run2,278850,279066,279282,279498,279714,279930,278844,279060,279276,271074,271290,279492,271506,279708,271722,271938,279924,272154,278838,279054
grid0_cycle1_run3,278850,279066,279282,279498,279714,278814,278844,279030,279060,278778,278838,278994,279246,232194,279054,279276,278742,232410,278832,278958
grid0_cycle2_run3,278850,279066,279282,279498,279714,278844,279060,278838,279054,279276,278832,279048,279270,279492,278826,278820,279042,279264,279486,279708
grid0_cycle3_run3,278850,279066,279282,279498,279714,279930,278844,279060,279276,278838,279492,279054,279708,279270,278832,279486,279048,279702,279264,278826
grid0_cycle4_run3,278850,279066,279282,279498,279714,279930,271074,271290,271506,278844,279060,271722,279276,271938,263298,263514,279492,263730,279708,278838
grid0_cycle5_run3,278850,279066,279282,279498,279714,279930,271074,271290,278844,279060,271506,279276,271722,279492,271938,263298,279708,263514,278838,279054
