,0
grid0_cycle1_run0,14
grid0_cycle2_run0,31
grid0_cycle3_run0,32
grid0_cycle4_run0,26
grid0_cycle5_run0,35
grid0_cycle1_run1,47
grid0_cycle2_run1,38
grid0_cycle3_run1,47
grid0_cycle4_run1,47
grid0_cycle5_run1,46
grid0_cycle1_run2,60
grid0_cycle2_run2,46
grid0_cycle3_run2,47
grid0_cycle4_run2,47
grid0_cycle5_run2,53
grid0_cycle1_run3,15
grid0_cycle2_run3,32
grid0_cycle3_run3,55
grid0_cycle4_run3,52
grid0_cycle5_run3,52
grid0_cycle1_run4,47
grid0_cycle2_run4,59
grid0_cycle3_run4,51
grid0_cycle4_run4,47
grid0_cycle5_run4,52
grid0_cycle1_run5,31
grid0_cycle2_run5,50
grid0_cycle3_run5,49
grid0_cycle4_run5,50
grid0_cycle5_run5,55
grid0_cycle1_run6,41
grid0_cycle2_run6,43
grid0_cycle3_run6,45
grid0_cycle4_run6,39
grid0_cycle5_run6,42
grid0_cycle1_run7,45
grid0_cycle2_run7,54
grid0_cycle3_run7,55
grid0_cycle4_run7,52
grid0_cycle5_run7,53
grid0_cycle1_run8,44
grid0_cycle2_run8,55
grid0_cycle3_run8,52
grid0_cycle4_run8,55
grid0_cycle5_run8,55
grid0_cycle1_run9,60
grid0_cycle2_run9,51
grid0_cycle3_run9,54
grid0_cycle4_run9,59
grid0_cycle5_run9,58
grid0_cycle1_run10,28
grid0_cycle2_run10,39
grid0_cycle3_run10,45
grid0_cycle4_run10,42
grid0_cycle5_run10,45
grid0_cycle1_run11,32
grid0_cycle2_run11,33
grid0_cycle3_run11,42
grid0_cycle4_run11,50
grid0_cycle5_run11,56
grid0_cycle1_run12,48
grid0_cycle2_run12,54
grid0_cycle3_run12,58
grid0_cycle4_run12,56
grid0_cycle5_run12,56
grid0_cycle1_run13,28
grid0_cycle2_run13,44
grid0_cycle3_run13,48
grid0_cycle4_run13,51
grid0_cycle5_run13,52
grid0_cycle1_run14,56
grid0_cycle2_run14,52
grid0_cycle3_run14,51
grid0_cycle4_run14,48
grid0_cycle5_run14,48
grid0_cycle1_run15,44
grid0_cycle2_run15,48
grid0_cycle3_run15,52
grid0_cycle4_run15,52
grid0_cycle5_run15,49
grid0_cycle1_run16,15
grid0_cycle2_run16,43
grid0_cycle3_run16,49
grid0_cycle4_run16,53
grid0_cycle5_run16,52
grid0_cycle1_run17,43
grid0_cycle2_run17,45
grid0_cycle3_run17,51
grid0_cycle4_run17,55
grid0_cycle5_run17,53
grid0_cycle1_run18,41
grid0_cycle2_run18,31
grid0_cycle3_run18,49
grid0_cycle4_run18,51
grid0_cycle5_run18,49
grid0_cycle1_run19,49
grid0_cycle2_run19,55
grid0_cycle3_run19,55
grid0_cycle4_run19,55
grid0_cycle5_run19,53
grid0_cycle1_run20,23
grid0_cycle2_run20,56
grid0_cycle3_run20,55
grid0_cycle4_run20,58
grid0_cycle5_run20,55
grid0_cycle1_run21,46
grid0_cycle2_run21,46
grid0_cycle3_run21,49
grid0_cycle4_run21,49
grid0_cycle5_run21,55
grid0_cycle1_run22,60
grid0_cycle2_run22,41
grid0_cycle3_run22,44
grid0_cycle4_run22,51
grid0_cycle5_run22,49
grid0_cycle1_run23,20
grid0_cycle2_run23,40
grid0_cycle3_run23,48
grid0_cycle4_run23,48
grid0_cycle5_run23,49
grid0_cycle1_run24,45
grid0_cycle2_run24,49
grid0_cycle3_run24,48
grid0_cycle4_run24,51
grid0_cycle5_run24,50
grid0_cycle1_run25,43
grid0_cycle2_run25,44
grid0_cycle3_run25,52
grid0_cycle4_run25,51
grid0_cycle5_run25,58
grid0_cycle1_run26,45
grid0_cycle2_run26,43
grid0_cycle3_run26,44
grid0_cycle4_run26,44
grid0_cycle5_run26,48
grid0_cycle1_run27,57
grid0_cycle2_run27,53
grid0_cycle3_run27,56
grid0_cycle4_run27,53
grid0_cycle5_run27,53
grid0_cycle1_run28,49
grid0_cycle2_run28,57
grid0_cycle3_run28,57
grid0_cycle4_run28,57
grid0_cycle5_run28,58
grid0_cycle1_run29,57
grid0_cycle2_run29,48
grid0_cycle3_run29,56
grid0_cycle4_run29,58
grid0_cycle5_run29,54
grid1_cycle1_run0,37
grid1_cycle2_run0,32
grid1_cycle3_run0,45
grid1_cycle4_run0,51
grid1_cycle5_run0,51
grid1_cycle1_run1,45
grid1_cycle2_run1,44
grid1_cycle3_run1,45
grid1_cycle4_run1,45
grid1_cycle5_run1,45
grid1_cycle1_run2,59
grid1_cycle2_run2,58
grid1_cycle3_run2,58
grid1_cycle4_run2,54
grid1_cycle5_run2,52
grid1_cycle1_run3,49
grid1_cycle2_run3,40
grid1_cycle3_run3,39
grid1_cycle4_run3,44
grid1_cycle5_run3,49
grid1_cycle1_run4,58
grid1_cycle2_run4,51
grid1_cycle3_run4,46
grid1_cycle4_run4,43
grid1_cycle5_run4,43
grid1_cycle1_run5,53
grid1_cycle2_run5,50
grid1_cycle3_run5,50
grid1_cycle4_run5,50
grid1_cycle5_run5,52
grid1_cycle1_run6,49
grid1_cycle2_run6,53
grid1_cycle3_run6,51
grid1_cycle4_run6,55
grid1_cycle5_run6,56
grid1_cycle1_run7,51
grid1_cycle2_run7,53
grid1_cycle3_run7,54
grid1_cycle4_run7,56
grid1_cycle5_run7,54
grid1_cycle1_run8,43
grid1_cycle2_run8,45
grid1_cycle3_run8,50
grid1_cycle4_run8,51
grid1_cycle5_run8,50
grid1_cycle1_run9,62
grid1_cycle2_run9,62
grid1_cycle3_run9,62
grid1_cycle4_run9,58
grid1_cycle5_run9,57
grid1_cycle1_run10,44
grid1_cycle2_run10,47
grid1_cycle3_run10,49
grid1_cycle4_run10,49
grid1_cycle5_run10,49
grid1_cycle1_run11,39
grid1_cycle2_run11,47
grid1_cycle3_run11,48
grid1_cycle4_run11,52
grid1_cycle5_run11,49
grid1_cycle1_run12,56
grid1_cycle2_run12,56
grid1_cycle3_run12,56
grid1_cycle4_run12,53
grid1_cycle5_run12,53
grid1_cycle1_run13,42
grid1_cycle2_run13,46
grid1_cycle3_run13,49
grid1_cycle4_run13,47
grid1_cycle5_run13,47
grid1_cycle1_run14,53
grid1_cycle2_run14,57
grid1_cycle3_run14,55
grid1_cycle4_run14,52
grid1_cycle5_run14,56
grid1_cycle1_run15,45
grid1_cycle2_run15,45
grid1_cycle3_run15,44
grid1_cycle4_run15,46
grid1_cycle5_run15,51
grid1_cycle1_run16,35
grid1_cycle2_run16,43
grid1_cycle3_run16,42
grid1_cycle4_run16,44
grid1_cycle5_run16,46
grid1_cycle1_run17,50
grid1_cycle2_run17,49
grid1_cycle3_run17,49
grid1_cycle4_run17,45
grid1_cycle5_run17,48
grid1_cycle1_run18,46
grid1_cycle2_run18,45
grid1_cycle3_run18,47
grid1_cycle4_run18,47
grid1_cycle5_run18,47
grid1_cycle1_run19,52
grid1_cycle2_run19,53
grid1_cycle3_run19,48
grid1_cycle4_run19,49
grid1_cycle5_run19,47
grid1_cycle1_run20,52
grid1_cycle2_run20,54
grid1_cycle3_run20,56
grid1_cycle4_run20,55
grid1_cycle5_run20,54
grid1_cycle1_run21,35
grid1_cycle2_run21,43
grid1_cycle3_run21,46
grid1_cycle4_run21,46
grid1_cycle5_run21,46
grid1_cycle1_run22,52
grid1_cycle2_run22,50
grid1_cycle3_run22,55
grid1_cycle4_run22,43
grid1_cycle5_run22,42
grid1_cycle1_run23,53
grid1_cycle2_run23,48
grid1_cycle3_run23,49
grid1_cycle4_run23,50
grid1_cycle5_run23,46
grid1_cycle1_run24,47
grid1_cycle2_run24,55
grid1_cycle3_run24,51
grid1_cycle4_run24,56
grid1_cycle5_run24,58
grid1_cycle1_run25,56
grid1_cycle2_run25,55
grid1_cycle3_run25,54
grid1_cycle4_run25,55
grid1_cycle5_run25,58
grid1_cycle1_run26,45
grid1_cycle2_run26,47
grid1_cycle3_run26,49
grid1_cycle4_run26,49
grid1_cycle5_run26,53
grid1_cycle1_run27,48
grid1_cycle2_run27,49
grid1_cycle3_run27,48
grid1_cycle4_run27,46
grid1_cycle5_run27,42
grid1_cycle1_run28,58
grid1_cycle2_run28,60
grid1_cycle3_run28,51
grid1_cycle4_run28,53
grid1_cycle5_run28,51
grid1_cycle1_run29,39
grid1_cycle2_run29,46
grid1_cycle3_run29,48
grid1_cycle4_run29,49
grid1_cycle5_run29,49
grid2_cycle1_run0,49
grid2_cycle2_run0,49
grid2_cycle3_run0,51
grid2_cycle4_run0,56
grid2_cycle5_run0,56
grid2_cycle1_run1,0
grid2_cycle2_run1,33
grid2_cycle3_run1,23
grid2_cycle4_run1,38
grid2_cycle5_run1,36
grid2_cycle1_run2,34
grid2_cycle2_run2,25
grid2_cycle3_run2,53
grid2_cycle4_run2,54
grid2_cycle5_run2,52
grid2_cycle1_run3,21
grid2_cycle2_run3,46
grid2_cycle3_run3,60
grid2_cycle4_run3,60
grid2_cycle5_run3,58
grid2_cycle1_run4,26
grid2_cycle2_run4,39
grid2_cycle3_run4,40
grid2_cycle4_run4,57
grid2_cycle5_run4,59
grid2_cycle1_run5,5
grid2_cycle2_run5,35
grid2_cycle3_run5,35
grid2_cycle4_run5,42
grid2_cycle5_run5,40
grid2_cycle1_run6,33
grid2_cycle2_run6,43
grid2_cycle3_run6,52
grid2_cycle4_run6,54
