,0
grid0_cycle1_run0,184219
grid0_cycle2_run0,277530
grid0_cycle3_run0,277530
grid0_cycle4_run0,277530
grid0_cycle5_run0,263490
grid0_cycle1_run1,269994
grid0_cycle2_run1,269994
grid0_cycle3_run1,279066
grid0_cycle4_run1,279066
grid0_cycle5_run1,279066
grid0_cycle1_run2,271290
grid0_cycle2_run2,271290
grid0_cycle3_run2,271290
grid0_cycle4_run2,279498
grid0_cycle5_run2,272154
grid0_cycle1_run3,271704
grid0_cycle2_run3,271704
grid0_cycle3_run3,271704
grid0_cycle4_run3,270408
grid0_cycle5_run3,270408
grid0_cycle1_run4,263910
grid0_cycle2_run4,272148
grid0_cycle3_run4,272148
grid0_cycle4_run4,272148
grid0_cycle5_run4,272148
grid0_cycle1_run5,270204
grid0_cycle2_run5,270204
grid0_cycle3_run5,270204
grid0_cycle4_run5,279714
grid0_cycle5_run5,279714
grid0_cycle1_run6,269988
grid0_cycle2_run6,269988
grid0_cycle3_run6,269988
grid0_cycle4_run6,269988
grid0_cycle5_run6,269988
grid0_cycle1_run7,278412
grid0_cycle2_run7,278412
grid0_cycle3_run7,278412
grid0_cycle4_run7,279282
grid0_cycle5_run7,279282
grid0_cycle1_run8,277938
grid0_cycle2_run8,277938
grid0_cycle3_run8,277938
grid0_cycle4_run8,263910
grid0_cycle5_run8,263910
grid0_cycle1_run9,255912
grid0_cycle2_run9,255912
grid0_cycle3_run9,278844
grid0_cycle4_run9,278844
grid0_cycle5_run9,278844
grid1_cycle1_run0,255738
grid1_cycle2_run0,255738
grid1_cycle3_run0,255738
grid1_cycle4_run0,271722
grid1_cycle5_run0,271722
grid1_cycle1_run1,263730
grid1_cycle2_run1,263730
grid1_cycle3_run1,263730
grid1_cycle4_run1,263730
grid1_cycle5_run1,263730
grid1_cycle1_run2,270822
grid1_cycle2_run2,270642
grid1_cycle3_run2,264162
grid1_cycle4_run2,264162
grid1_cycle5_run2,264162
grid1_cycle1_run3,279708
grid1_cycle2_run3,279708
grid1_cycle3_run3,279708
grid1_cycle4_run3,279708
grid1_cycle5_run3,270426
grid1_cycle1_run4,269988
grid1_cycle2_run4,269988
grid1_cycle3_run4,271074
grid1_cycle4_run4,271074
grid1_cycle5_run4,271074
grid1_cycle1_run5,279270
grid1_cycle2_run5,279270
grid1_cycle3_run5,279498
grid1_cycle4_run5,279498
grid1_cycle5_run5,279498
grid1_cycle1_run6,255726
grid1_cycle2_run6,277770
grid1_cycle3_run6,263514
grid1_cycle4_run6,263514
grid1_cycle5_run6,263514
grid1_cycle1_run7,271722
grid1_cycle2_run7,271722
grid1_cycle3_run7,271722
grid1_cycle4_run7,271722
grid1_cycle5_run7,271722
grid1_cycle1_run8,255072
grid1_cycle2_run8,277986
grid1_cycle3_run8,277986
grid1_cycle4_run8,277986
grid1_cycle5_run8,277986
grid1_cycle1_run9,263292
grid1_cycle2_run9,263292
grid1_cycle3_run9,263292
grid1_cycle4_run9,264372
grid1_cycle5_run9,264372
grid2_cycle1_run0,271716
