,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle1_run0,184212,177739,184218,176437,177733,176436,177738,185515,185514,185509,184219,185508,177732,176442,176443,184213,168661,168667,168666,168660
grid0_cycle2_run0,248508,254455,277963,277962,254449,277957,277956,262518,262519,254454,255937,277968,254460,255936,262524,247716,254461,247717,247722,262525
grid0_cycle3_run0,276462,268686,276474,268698,276258,268482,276468,268692,276246,268470,268476,276252,269982,277758,277122,269346,276906,268914,269130,276690
grid0_cycle4_run0,277530,277542,276246,277536,276240,277548,276252,277554,276258,276462,276450,277758,276456,276474,276468,277524,277770,277746,277752,277764
grid0_cycle5_run0,268680,268674,268686,268464,271266,276462,269970,269544,276456,269328,277326,279042,277320,277110,277746,277104,276450,276240,271272,222024
grid0_cycle1_run1,200230,35419,128949,83159,35386,35387,83158,83157,83156,83155,83154,128950,128951,169955,169954,35418,35420,129128,35421,35422
grid0_cycle2_run1,232158,224382,271038,232194,224418,278814,271074,232374,278850,224598,271470,279246,232590,232410,224814,271254,224634,279030,271506,279282
grid0_cycle3_run1,279066,278850,277770,271290,277554,271074,255522,263298,269778,269994,255738,263514,254226,262002,254442,278634,262218,279930,270858,279714
grid0_cycle4_run1,279066,279030,279060,278994,279054,279024,279018,271290,278988,271254,278982,271278,279048,277770,279012,271284,271242,269994,271218,271248
grid0_cycle5_run1,271290,271284,279060,279066,271278,279054,271074,263514,271068,271062,278844,278838,263508,278850,271506,263502,279282,279276,271272,271488
grid0_cycle1_run2,262219,262187,269999,262220,262221,262222,262223,269958,269959,269960,269961,269962,269963,269994,269995,269996,269997,262218,269998,262186
grid0_cycle2_run2,269994,269778,270210,270642,270858,271290,270426,271506,271938,272154,270606,270822,269958,271722,271074,270174,269742,271902,272118,271254
grid0_cycle3_run2,271506,279282,271938,271500,271074,270642,279276,279714,278418,278850,271068,271290,277986,270210,278844,279066,271932,277980,270204,272154
grid0_cycle4_run2,271938,272154,264162,271506,271722,264378,270642,263946,263730,270858,279714,262866,270426,270210,279930,278418,263082,279282,278634,279498
grid0_cycle5_run2,271506,279282,271938,272154,279714,279930,271722,279498,277986,263730,270210,270642,271290,270858,279276,271500,278634,279066,278418,264162
