,0
grid0_cycle1_run0,0
grid0_cycle2_run0,0
grid0_cycle3_run0,30
grid0_cycle4_run0,12
grid0_cycle5_run0,5
grid0_cycle1_run1,0
grid0_cycle2_run1,22
grid0_cycle3_run1,54
grid0_cycle4_run1,22
grid0_cycle5_run1,45
grid0_cycle1_run2,7
grid0_cycle2_run2,51
grid0_cycle3_run2,69
grid0_cycle4_run2,76
grid0_cycle5_run2,88
grid0_cycle1_run3,5
grid0_cycle2_run3,26
grid0_cycle3_run3,45
grid0_cycle4_run3,44
grid0_cycle5_run3,47
grid0_cycle1_run4,50
grid0_cycle2_run4,45
grid0_cycle3_run4,67
grid0_cycle4_run4,63
grid0_cycle5_run4,54
grid0_cycle1_run5,7
grid0_cycle2_run5,48
grid0_cycle3_run5,37
grid0_cycle4_run5,71
grid0_cycle5_run5,75
grid0_cycle1_run6,4
grid0_cycle2_run6,38
grid0_cycle3_run6,50
grid0_cycle4_run6,65
grid0_cycle5_run6,54
grid0_cycle1_run7,0
grid0_cycle2_run7,36
grid0_cycle3_run7,45
grid0_cycle4_run7,42
grid0_cycle5_run7,78
grid0_cycle1_run8,0
grid0_cycle2_run8,0
grid0_cycle3_run8,28
grid0_cycle4_run8,37
grid0_cycle5_run8,17
grid0_cycle1_run9,0
grid0_cycle2_run9,20
grid0_cycle3_run9,48
grid0_cycle4_run9,61
grid0_cycle5_run9,78
grid1_cycle1_run0,73
grid1_cycle2_run0,78
grid1_cycle3_run0,83
grid1_cycle4_run0,87
grid1_cycle5_run0,86
grid1_cycle1_run1,46
grid1_cycle2_run1,77
grid1_cycle3_run1,88
grid1_cycle4_run1,88
grid1_cycle5_run1,92
grid1_cycle1_run2,25
grid1_cycle2_run2,46
grid1_cycle3_run2,54
grid1_cycle4_run2,63
grid1_cycle5_run2,85
grid1_cycle1_run3,65
grid1_cycle2_run3,51
grid1_cycle3_run3,59
grid1_cycle4_run3,59
grid1_cycle5_run3,78
grid1_cycle1_run4,30
grid1_cycle2_run4,40
grid1_cycle3_run4,42
grid1_cycle4_run4,69
grid1_cycle5_run4,73
grid1_cycle1_run5,46
grid1_cycle2_run5,61
grid1_cycle3_run5,85
grid1_cycle4_run5,76
grid1_cycle5_run5,81
grid1_cycle1_run6,64
grid1_cycle2_run6,45
grid1_cycle3_run6,79
grid1_cycle4_run6,82
grid1_cycle5_run6,80
grid1_cycle1_run7,36
grid1_cycle2_run7,72
grid1_cycle3_run7,82
grid1_cycle4_run7,85
grid1_cycle5_run7,83
grid1_cycle1_run8,15
grid1_cycle2_run8,48
grid1_cycle3_run8,77
grid1_cycle4_run8,74
grid1_cycle5_run8,87
grid1_cycle1_run9,45
grid1_cycle2_run9,77
grid1_cycle3_run9,66
grid1_cycle4_run9,86
grid1_cycle5_run9,87
grid2_cycle1_run0,67
grid2_cycle2_run0,77
grid2_cycle3_run0,85
grid2_cycle4_run0,78
grid2_cycle5_run0,88
grid2_cycle1_run1,87
grid2_cycle2_run1,85
grid2_cycle3_run1,86
grid2_cycle4_run1,90
grid2_cycle5_run1,90
grid2_cycle1_run2,71
grid2_cycle2_run2,83
grid2_cycle3_run2,87
grid2_cycle4_run2,86
grid2_cycle5_run2,94
grid2_cycle1_run3,70
grid2_cycle2_run3,81
grid2_cycle3_run3,86
grid2_cycle4_run3,89
grid2_cycle5_run3,89
grid2_cycle1_run4,31
grid2_cycle2_run4,85
grid2_cycle3_run4,89
grid2_cycle4_run4,89
grid2_cycle5_run4,89
grid2_cycle1_run5,84
grid2_cycle2_run5,82
grid2_cycle3_run5,89
grid2_cycle4_run5,90
grid2_cycle5_run5,88
grid2_cycle1_run6,68
grid2_cycle2_run6,90
grid2_cycle3_run6,88
grid2_cycle4_run6,89
grid2_cycle5_run6,92
grid2_cycle1_run7,87
grid2_cycle2_run7,87
grid2_cycle3_run7,88
grid2_cycle4_run7,90
grid2_cycle5_run7,89
grid2_cycle1_run8,82
grid2_cycle2_run8,77
grid2_cycle3_run8,89
grid2_cycle4_run8,91
grid2_cycle5_run8,86
grid2_cycle1_run9,85
grid2_cycle2_run9,86
grid2_cycle3_run9,92
grid2_cycle4_run9,92
grid2_cycle5_run9,93
grid3_cycle1_run0,74
grid3_cycle2_run0,89
grid3_cycle3_run0,92
grid3_cycle4_run0,90
grid3_cycle5_run0,95
grid3_cycle1_run1,89
grid3_cycle2_run1,89
grid3_cycle3_run1,91
grid3_cycle4_run1,88
grid3_cycle5_run1,93
grid3_cycle1_run2,74
grid3_cycle2_run2,87
grid3_cycle3_run2,88
grid3_cycle4_run2,90
grid3_cycle5_run2,92
grid3_cycle1_run3,72
grid3_cycle2_run3,87
grid3_cycle3_run3,85
grid3_cycle4_run3,88
grid3_cycle5_run3,95
grid3_cycle1_run4,86
grid3_cycle2_run4,87
grid3_cycle3_run4,92
grid3_cycle4_run4,93
grid3_cycle5_run4,93
grid3_cycle1_run5,71
grid3_cycle2_run5,91
grid3_cycle3_run5,90
grid3_cycle4_run5,92
grid3_cycle5_run5,94
grid3_cycle1_run6,72
grid3_cycle2_run6,91
grid3_cycle3_run6,94
grid3_cycle4_run6,93
grid3_cycle5_run6,94
grid3_cycle1_run7,86
grid3_cycle2_run7,90
grid3_cycle3_run7,91
grid3_cycle4_run7,91
grid3_cycle5_run7,92
grid3_cycle1_run8,88
grid3_cycle2_run8,88
grid3_cycle3_run8,90
grid3_cycle4_run8,89
grid3_cycle5_run8,96
grid3_cycle1_run9,74
grid3_cycle2_run9,90
