,0
grid0_cycle1_run0,269539
grid0_cycle2_run0,269539
grid0_cycle3_run0,217416
grid0_cycle4_run0,208824
grid0_cycle5_run0,208824
grid0_cycle1_run1,232404
grid0_cycle2_run1,279498
grid0_cycle3_run1,279498
grid0_cycle4_run1,279498
grid0_cycle5_run1,279498
grid0_cycle1_run2,263070
grid0_cycle2_run2,263070
grid0_cycle3_run2,263724
grid0_cycle4_run2,263724
grid0_cycle5_run2,263724
grid0_cycle1_run3,269736
grid0_cycle2_run3,269736
grid0_cycle3_run3,269736
grid0_cycle4_run3,279060
grid0_cycle5_run3,270636
grid0_cycle1_run4,255294
grid0_cycle2_run4,255294
grid0_cycle3_run4,262638
grid0_cycle4_run4,263292
grid0_cycle5_run4,263292
grid0_cycle1_run5,255942
grid0_cycle2_run5,255942
grid0_cycle3_run5,255942
grid0_cycle4_run5,256602
grid0_cycle5_run5,256602
grid0_cycle1_run6,279714
grid0_cycle2_run6,279714
grid0_cycle3_run6,279714
grid0_cycle4_run6,279714
grid0_cycle5_run6,279282
grid0_cycle1_run7,279498
grid0_cycle2_run7,279498
grid0_cycle3_run7,279498
grid0_cycle4_run7,279498
grid0_cycle5_run7,279498
grid0_cycle1_run8,255954
grid0_cycle2_run8,255954
grid0_cycle3_run8,271290
grid0_cycle4_run8,271290
grid0_cycle5_run8,255522
grid0_cycle1_run9,263724
grid0_cycle2_run9,263724
grid0_cycle3_run9,263724
grid0_cycle4_run9,263514
grid0_cycle5_run9,264162
grid1_cycle1_run0,263514
grid1_cycle2_run0,263514
grid1_cycle3_run0,263514
grid1_cycle4_run0,271500
grid1_cycle5_run0,279498
grid1_cycle1_run1,271290
grid1_cycle2_run1,271290
grid1_cycle3_run1,264162
grid1_cycle4_run1,263298
grid1_cycle5_run1,263298
grid1_cycle1_run2,279930
grid1_cycle2_run2,279930
grid1_cycle3_run2,279930
grid1_cycle4_run2,271938
grid1_cycle5_run2,271938
grid1_cycle1_run3,271938
grid1_cycle2_run3,271938
grid1_cycle3_run3,271722
grid1_cycle4_run3,271722
grid1_cycle5_run3,271722
grid1_cycle1_run4,279066
grid1_cycle2_run4,278850
grid1_cycle3_run4,278850
grid1_cycle4_run4,271722
grid1_cycle5_run4,271722
grid1_cycle1_run5,271500
grid1_cycle2_run5,271500
grid1_cycle3_run5,271500
grid1_cycle4_run5,255954
grid1_cycle5_run5,255954
grid1_cycle1_run6,279714
grid1_cycle2_run6,256170
grid1_cycle3_run6,264162
grid1_cycle4_run6,256170
grid1_cycle5_run6,256170
grid1_cycle1_run7,262650
grid1_cycle2_run7,262650
grid1_cycle3_run7,262650
grid1_cycle4_run7,271722
grid1_cycle5_run7,271722
grid1_cycle1_run8,272154
grid1_cycle2_run8,272154
grid1_cycle3_run8,272154
grid1_cycle4_run8,272154
grid1_cycle5_run8,272154
grid1_cycle1_run9,263082
grid1_cycle2_run9,272154
grid1_cycle3_run9,272154
grid1_cycle4_run9,272154
grid1_cycle5_run9,279714
grid2_cycle1_run0,264378
grid2_cycle2_run0,271722
grid2_cycle3_run0,271722
grid2_cycle4_run0,271722
grid2_cycle5_run0,271722
grid2_cycle1_run1,264162
grid2_cycle2_run1,264162
grid2_cycle3_run1,264162
grid2_cycle4_run1,264162
grid2_cycle5_run1,264162
grid2_cycle1_run2,256170
grid2_cycle2_run2,279714
grid2_cycle3_run2,263730
grid2_cycle4_run2,263730
grid2_cycle5_run2,263730
grid2_cycle1_run3,279282
grid2_cycle2_run3,279282
grid2_cycle3_run3,279282
grid2_cycle4_run3,271722
grid2_cycle5_run3,271722
grid2_cycle1_run4,269994
grid2_cycle2_run4,256170
grid2_cycle3_run4,279066
grid2_cycle4_run4,279282
grid2_cycle5_run4,279282
grid2_cycle1_run5,263946
grid2_cycle2_run5,263946
grid2_cycle3_run5,263946
grid2_cycle4_run5,263946
grid2_cycle5_run5,263946
grid2_cycle1_run6,271938
grid2_cycle2_run6,278850
grid2_cycle3_run6,278850
grid2_cycle4_run6,278850
grid2_cycle5_run6,278850
grid2_cycle1_run7,263946
grid2_cycle2_run7,279714
grid2_cycle3_run7,279714
grid2_cycle4_run7,279714
grid2_cycle5_run7,279714
grid2_cycle1_run8,271068
grid2_cycle2_run8,263508
grid2_cycle3_run8,279714
grid2_cycle4_run8,279714
grid2_cycle5_run8,279714
grid2_cycle1_run9,271290
grid2_cycle2_run9,271506
grid2_cycle3_run9,271506
grid2_cycle4_run9,271506
grid2_cycle5_run9,271506
grid3_cycle1_run0,255954
grid3_cycle2_run0,279930
grid3_cycle3_run0,279930
grid3_cycle4_run0,279714
grid3_cycle5_run0,279714
grid3_cycle1_run1,271722
grid3_cycle2_run1,271722
grid3_cycle3_run1,271722
grid3_cycle4_run1,271722
grid3_cycle5_run1,271722
grid3_cycle1_run2,278850
grid3_cycle2_run2,278850
grid3_cycle3_run2,278850
grid3_cycle4_run2,278850
grid3_cycle5_run2,278850
grid3_cycle1_run3,272154
grid3_cycle2_run3,263946
grid3_cycle3_run3,271506
grid3_cycle4_run3,264378
grid3_cycle5_run3,264378
grid3_cycle1_run4,271074
grid3_cycle2_run4,278850
grid3_cycle3_run4,263298
grid3_cycle4_run4,271290
grid3_cycle5_run4,271506
grid3_cycle1_run5,272154
grid3_cycle2_run5,271290
grid3_cycle3_run5,263514
grid3_cycle4_run5,263946
grid3_cycle5_run5,272154
grid3_cycle1_run6,255954
grid3_cycle2_run6,279498
grid3_cycle3_run6,279498
grid3_cycle4_run6,279498
grid3_cycle5_run6,279498
grid3_cycle1_run7,264378
grid3_cycle2_run7,271074
grid3_cycle3_run7,271074
grid3_cycle4_run7,271074
grid3_cycle5_run7,271074
grid3_cycle1_run8,263298
grid3_cycle2_run8,279498
grid3_cycle3_run8,279498
grid3_cycle4_run8,279498
grid3_cycle5_run8,279498
grid3_cycle1_run9,263514
grid3_cycle2_run9,263514
grid3_cycle3_run9,263514
grid3_cycle4_run9,263730
grid3_cycle5_run9,263730
grid4_cycle1_run0,272154
grid4_cycle2_run0,263730
grid4_cycle3_run0,279930
grid4_cycle4_run0,279930
grid4_cycle5_run0,279930
grid4_cycle1_run1,256602
grid4_cycle2_run1,279714
grid4_cycle3_run1,272154
grid4_cycle4_run1,272154
grid4_cycle5_run1,279714
grid4_cycle1_run2,263514
grid4_cycle2_run2,263514
grid4_cycle3_run2,279714
grid4_cycle4_run2,279714
grid4_cycle5_run2,279714
grid4_cycle1_run3,271290
grid4_cycle2_run3,264378
grid4_cycle3_run3,264378
grid4_cycle4_run3,264378
grid4_cycle5_run3,264378
grid4_cycle1_run4,263514
grid4_cycle2_run4,263514
grid4_cycle3_run4,263514
grid4_cycle4_run4,263514
grid4_cycle5_run4,263514
grid4_cycle1_run5,263946
grid4_cycle2_run5,263946
grid4_cycle3_run5,263946
grid4_cycle4_run5,263946
grid4_cycle5_run5,263946
grid4_cycle1_run6,263514
grid4_cycle2_run6,279930
grid4_cycle3_run6,263730
grid4_cycle4_run6,263946
grid4_cycle5_run6,263946
grid4_cycle1_run7,279282
grid4_cycle2_run7,279930
grid4_cycle3_run7,279930
grid4_cycle4_run7,279930
grid4_cycle5_run7,279930
grid4_cycle1_run8,263730
grid4_cycle2_run8,263730
grid4_cycle3_run8,263730
grid4_cycle4_run8,263730
grid4_cycle5_run8,263730
grid4_cycle1_run9,271722
grid4_cycle2_run9,271722
grid4_cycle3_run9,271722
grid4_cycle4_run9,271722
grid4_cycle5_run9,271722
grid5_cycle1_run0,271290
grid5_cycle2_run0,271290
grid5_cycle3_run0,271290
grid5_cycle4_run0,271290
grid5_cycle5_run0,271290
grid5_cycle1_run1,279498
grid5_cycle2_run1,272154
grid5_cycle3_run1,271938
grid5_cycle4_run1,271938
grid5_cycle5_run1,271938
grid5_cycle1_run2,256602
grid5_cycle2_run2,256602
grid5_cycle3_run2,256602
grid5_cycle4_run2,256602
grid5_cycle5_run2,256602
grid5_cycle1_run3,256602
grid5_cycle2_run3,256602
grid5_cycle3_run3,256602
grid5_cycle4_run3,256602
grid5_cycle5_run3,256602
grid5_cycle1_run4,263946
grid5_cycle2_run4,263946
grid5_cycle3_run4,263946
grid5_cycle4_run4,263946
grid5_cycle5_run4,263946
grid5_cycle1_run5,279282
grid5_cycle2_run5,279282
grid5_cycle3_run5,279282
grid5_cycle4_run5,279282
grid5_cycle5_run5,279282
grid5_cycle1_run6,271506
grid5_cycle2_run6,271506
grid5_cycle3_run6,271506
grid5_cycle4_run6,271506
grid5_cycle5_run6,271506
grid5_cycle1_run7,279498
grid5_cycle2_run7,279498
grid5_cycle3_run7,279498
grid5_cycle4_run7,279498
grid5_cycle5_run7,279498
grid5_cycle1_run8,279282
grid5_cycle2_run8,279282
grid5_cycle3_run8,279282
grid5_cycle4_run8,279282
grid5_cycle5_run8,279282
grid5_cycle1_run9,264378
grid5_cycle2_run9,264378
grid5_cycle3_run9,264378
grid5_cycle4_run9,264378
grid5_cycle5_run9,264378
grid6_cycle1_run0,271722
grid6_cycle2_run0,271722
grid6_cycle3_run0,271722
grid6_cycle4_run0,271722
grid6_cycle5_run0,271722
grid6_cycle1_run1,271506
grid6_cycle2_run1,271506
grid6_cycle3_run1,271506
grid6_cycle4_run1,271506
grid6_cycle5_run1,271506
grid6_cycle1_run2,279930
grid6_cycle2_run2,279930
grid6_cycle3_run2,279930
grid6_cycle4_run2,279930
grid6_cycle5_run2,264162
grid6_cycle1_run3,279714
grid6_cycle2_run3,279714
grid6_cycle3_run3,279714
grid6_cycle4_run3,279714
grid6_cycle5_run3,279714
grid6_cycle1_run4,271290
grid6_cycle2_run4,271290
grid6_cycle3_run4,271290
grid6_cycle4_run4,271290
grid6_cycle5_run4,271290
grid6_cycle1_run5,279930
grid6_cycle2_run5,279930
grid6_cycle3_run5,279930
grid6_cycle4_run5,279930
grid6_cycle5_run5,279930
