,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle1_run0,46650,93306,139962,186618,233274,279930,46651,93307,139963,186619,233275,279931,46652,93308,139964,186620,233276,279932,45354,92010
grid0_cycle2_run0,240840,240876,240912,240948,240984,241020,248616,248652,248688,248724,248760,248796,256392,256428,256464,256500,256536,256572,264168,264204
grid0_cycle3_run0,279900,279906,279864,272124,279828,279792,279870,279912,279756,272130,279834,272088,279720,272052,279798,264348,272016,279762,271980,272094
grid0_cycle4_run0,279864,279870,279876,279882,279684,279828,279924,279888,279930,279834,279690,279918,279912,279840,279696,279906,279846,279900,279702,279852
grid0_cycle5_run0,224418,279864,279870,279876,279828,279834,279882,279684,279690,279840,224412,279696,279888,279846,216606,224406,279702,208830,279468,279792
grid0_cycle1_run1,276258,277548,277542,274962,276252,277554,276246,273666,274956,274950,277536,277770,274944,273660,276240,273654,272370,272364,277758,273648
grid0_cycle2_run1,279930,272154,279924,279894,279918,264378,279931,279714,272148,272142,279912,272136,272130,279906,256602,279858,272124,264372,279708,279498
grid0_cycle3_run1,272154,279930,279924,264378,271932,271938,271716,279714,279918,279708,272155,271722,279498,271500,264162,270858,271926,279492,271710,279702
grid0_cycle4_run1,272154,264378,279714,279498,271938,279930,279282,279066,271722,272155,225498,278850,264379,279708,272148,217722,271506,256602,279492,270858
grid0_cycle5_run1,252714,254010,244938,255306,279276,279486,279492,279696,263082,252498,260274,261786,278850,279702,237162,246234,279060,260490,279066,279708
grid0_cycle1_run2,279935,100060,99073,99072,99071,99070,99069,99068,99067,99066,99065,99064,99063,99062,99061,99060,99059,99058,99057,99056
grid0_cycle2_run2,279930,279924,279918,279912,279894,279906,279900,279858,279822,279888,279786,279882,279750,279852,279876,279846,279870,279816,279864,279840
grid0_cycle3_run2,278850,279066,279282,279498,279714,279930,278844,278814,279060,279030,279276,279246,279492,279462,279708,279678,279924,279894,278838,278778
grid0_cycle4_run2,279930,271926,272148,271932,279912,272142,271710,271920,279906,271494,271716,264156,271704,263940,264150,272136,263934,279924,279714,263724
grid0_cycle5_run2,278850,279066,279282,279498,279714,279930,278814,279030,279246,279462,278778,279678,278994,279210,279426,278742,279642,278958,279894,279174
grid0_cycle1_run3,279930,279931,279932,279933,279934,279935,278634,278635,278636,278637,278638,278639,277338,277339,277340,233274,277341,233275,277342,233276
grid0_cycle2_run3,233280,234576,235872,237168,233316,234612,233496,238464,234792,235908,241056,242352,236088,237204,243648,237384,233532,238500,233286,234828
grid0_cycle3_run3,279498,279714,279282,279066,278814,279030,271002,271254,271038,278850,278778,271218,271470,270966,263226,278994,279246,263442,263190,279492
grid0_cycle4_run3,278844,279060,271038,263262,278850,271074,271290,263478,278851,278838,278845,271254,278808,279054,279066,279061,271506,278802,278839,271039
grid0_cycle5_run3,278850,279066,279282,279498,278844,279714,279060,278838,279054,279276,271074,278832,271290,279048,279270,279492,278826,263298,278820,279042
grid0_cycle1_run4,277092,278388,278172,268020,276876,269316,275796,268026,269322,275580,278394,277956,278178,266724,276660,277098,270612,274500,270618,276882
grid0_cycle2_run4,272136,272142,272130,264360,272124,264366,264354,264348,271908,271914,272148,271920,271692,271698,264372,271926,256584,271704,256578,256590
grid0_cycle3_run4,279924,272148,271932,271716,279708,264156,264372,263940,271500,279918,279492,263724,256380,279702,271284,256164,256596,279276,263508,271068
grid0_cycle4_run4,279924,279702,279925,271932,279708,279486,272148,279918,279696,271716,279480,271500,279264,264156,279270,263940,279709,279492,279703,263724
grid0_cycle5_run4,271932,271716,279924,264156,271500,263940,256380,271926,271710,256164,279708,248604,263724,272148,271284,271494,270852,240828,279918,279702
grid0_cycle1_run5,279102,278886,279138,279318,278670,278922,279354,278706,279174,278958,279390,278742,279210,278994,279534,279426,271326,278778,279570,271362
grid0_cycle2_run5,278850,279066,271074,271290,279282,263298,278851,263514,255522,279067,255738,279060,278844,279276,271506,247746,279498,271075,247962,263730
