,0
grid0_cycle1_run0,2
grid0_cycle2_run0,0
grid0_cycle3_run0,5
grid0_cycle4_run0,23
grid0_cycle5_run0,15
grid0_cycle1_run1,14
grid0_cycle2_run1,26
grid0_cycle3_run1,59
grid0_cycle4_run1,46
grid0_cycle5_run1,33
grid0_cycle1_run2,0
grid0_cycle2_run2,15
grid0_cycle3_run2,36
grid0_cycle4_run2,31
grid0_cycle5_run2,26
grid0_cycle1_run3,5
grid0_cycle2_run3,0
grid0_cycle3_run3,21
grid0_cycle4_run3,18
grid0_cycle5_run3,48
grid0_cycle1_run4,0
grid0_cycle2_run4,16
grid0_cycle3_run4,40
grid0_cycle4_run4,43
grid0_cycle5_run4,46
grid0_cycle1_run5,7
grid0_cycle2_run5,36
grid0_cycle3_run5,55
grid0_cycle4_run5,56
grid0_cycle5_run5,40
grid0_cycle1_run6,19
grid0_cycle2_run6,49
grid0_cycle3_run6,37
grid0_cycle4_run6,36
grid0_cycle5_run6,36
grid0_cycle1_run7,34
grid0_cycle2_run7,21
grid0_cycle3_run7,35
grid0_cycle4_run7,26
grid0_cycle5_run7,32
grid0_cycle1_run8,10
grid0_cycle2_run8,11
grid0_cycle3_run8,43
grid0_cycle4_run8,42
grid0_cycle5_run8,58
grid0_cycle1_run9,1
grid0_cycle2_run9,39
grid0_cycle3_run9,50
grid0_cycle4_run9,70
grid0_cycle5_run9,39
grid1_cycle1_run0,0
grid1_cycle2_run0,62
grid1_cycle3_run0,56
grid1_cycle4_run0,63
grid1_cycle5_run0,64
grid1_cycle1_run1,32
grid1_cycle2_run1,51
grid1_cycle3_run1,50
grid1_cycle4_run1,55
grid1_cycle5_run1,54
grid1_cycle1_run2,6
grid1_cycle2_run2,33
grid1_cycle3_run2,60
grid1_cycle4_run2,60
grid1_cycle5_run2,60
grid1_cycle1_run3,38
grid1_cycle2_run3,48
grid1_cycle3_run3,43
grid1_cycle4_run3,39
grid1_cycle5_run3,46
grid1_cycle1_run4,32
grid1_cycle2_run4,16
grid1_cycle3_run4,64
grid1_cycle4_run4,25
grid1_cycle5_run4,55
grid1_cycle1_run5,26
grid1_cycle2_run5,43
grid1_cycle3_run5,49
grid1_cycle4_run5,56
grid1_cycle5_run5,51
grid1_cycle1_run6,42
grid1_cycle2_run6,51
grid1_cycle3_run6,67
grid1_cycle4_run6,64
grid1_cycle5_run6,73
grid1_cycle1_run7,51
grid1_cycle2_run7,60
grid1_cycle3_run7,68
grid1_cycle4_run7,68
grid1_cycle5_run7,75
grid1_cycle1_run8,46
grid1_cycle2_run8,63
grid1_cycle3_run8,52
grid1_cycle4_run8,57
grid1_cycle5_run8,62
grid1_cycle1_run9,36
grid1_cycle2_run9,34
grid1_cycle3_run9,0
grid1_cycle4_run9,55
grid1_cycle5_run9,47
grid2_cycle1_run0,61
grid2_cycle2_run0,54
grid2_cycle3_run0,62
grid2_cycle4_run0,65
grid2_cycle5_run0,62
grid2_cycle1_run1,0
grid2_cycle2_run1,41
grid2_cycle3_run1,58
grid2_cycle4_run1,76
grid2_cycle5_run1,65
grid2_cycle1_run2,69
grid2_cycle2_run2,58
grid2_cycle3_run2,77
grid2_cycle4_run2,78
grid2_cycle5_run2,84
grid2_cycle1_run3,58
grid2_cycle2_run3,64
grid2_cycle3_run3,71
grid2_cycle4_run3,67
grid2_cycle5_run3,75
grid2_cycle1_run4,77
grid2_cycle2_run4,47
grid2_cycle3_run4,58
grid2_cycle4_run4,73
grid2_cycle5_run4,67
grid2_cycle1_run5,57
grid2_cycle2_run5,71
grid2_cycle3_run5,62
grid2_cycle4_run5,72
grid2_cycle5_run5,75
grid2_cycle1_run6,47
grid2_cycle2_run6,58
grid2_cycle3_run6,69
grid2_cycle4_run6,80
grid2_cycle5_run6,77
grid2_cycle1_run7,42
grid2_cycle2_run7,65
grid2_cycle3_run7,78
grid2_cycle4_run7,72
grid2_cycle5_run7,74
grid2_cycle1_run8,47
grid2_cycle2_run8,60
grid2_cycle3_run8,65
grid2_cycle4_run8,73
grid2_cycle5_run8,77
grid2_cycle1_run9,61
grid2_cycle2_run9,65
grid2_cycle3_run9,73
grid2_cycle4_run9,79
grid2_cycle5_run9,79
grid3_cycle1_run0,63
grid3_cycle2_run0,84
grid3_cycle3_run0,82
grid3_cycle4_run0,85
grid3_cycle5_run0,84
grid3_cycle1_run1,66
grid3_cycle2_run1,77
grid3_cycle3_run1,77
grid3_cycle4_run1,79
grid3_cycle5_run1,82
grid3_cycle1_run2,56
grid3_cycle2_run2,72
grid3_cycle3_run2,75
grid3_cycle4_run2,84
grid3_cycle5_run2,86
grid3_cycle1_run3,67
grid3_cycle2_run3,77
grid3_cycle3_run3,78
grid3_cycle4_run3,83
grid3_cycle5_run3,86
grid3_cycle1_run4,56
grid3_cycle2_run4,76
grid3_cycle3_run4,80
grid3_cycle4_run4,89
grid3_cycle5_run4,82
grid3_cycle1_run5,65
grid3_cycle2_run5,73
grid3_cycle3_run5,86
grid3_cycle4_run5,74
grid3_cycle5_run5,89
grid3_cycle1_run6,73
grid3_cycle2_run6,73
grid3_cycle3_run6,80
grid3_cycle4_run6,86
grid3_cycle5_run6,84
grid3_cycle1_run7,48
grid3_cycle2_run7,82
grid3_cycle3_run7,82
grid3_cycle4_run7,74
grid3_cycle5_run7,87
grid3_cycle1_run8,67
grid3_cycle2_run8,77
grid3_cycle3_run8,81
grid3_cycle4_run8,86
grid3_cycle5_run8,83
grid3_cycle1_run9,66
grid3_cycle2_run9,74
grid3_cycle3_run9,74
grid3_cycle4_run9,73
grid3_cycle5_run9,79
grid4_cycle1_run0,80
grid4_cycle2_run0,85
grid4_cycle3_run0,88
grid4_cycle4_run0,82
grid4_cycle5_run0,84
grid4_cycle1_run1,75
grid4_cycle2_run1,76
grid4_cycle3_run1,82
grid4_cycle4_run1,85
grid4_cycle5_run1,86
grid4_cycle1_run2,80
grid4_cycle2_run2,82
grid4_cycle3_run2,89
grid4_cycle4_run2,83
