,0
grid0_cycle1_run0,260647
grid0_cycle2_run0,184758
grid0_cycle3_run0,214602
grid0_cycle4_run0,256374
grid0_cycle5_run0,256374
grid0_cycle1_run1,279930
grid0_cycle2_run1,279930
grid0_cycle3_run1,279930
grid0_cycle4_run1,279930
grid0_cycle5_run1,279930
grid0_cycle1_run2,207780
grid0_cycle2_run2,207780
grid0_cycle3_run2,207780
grid0_cycle4_run2,270600
grid0_cycle5_run2,279066
grid0_cycle1_run3,270426
grid0_cycle2_run3,270426
grid0_cycle3_run3,270426
grid0_cycle4_run3,271284
grid0_cycle5_run3,263940
grid0_cycle1_run4,255294
grid0_cycle2_run4,255294
grid0_cycle3_run4,255294
grid0_cycle4_run4,255294
grid0_cycle5_run4,255294
grid0_cycle1_run5,264108
grid0_cycle2_run5,263904
grid0_cycle3_run5,254862
grid0_cycle4_run5,254862
grid0_cycle5_run5,254862
grid0_cycle1_run6,263082
grid0_cycle2_run6,263082
grid0_cycle3_run6,263082
grid0_cycle4_run6,263082
grid0_cycle5_run6,263082
grid0_cycle1_run7,277944
grid0_cycle2_run7,277944
grid0_cycle3_run7,277944
grid0_cycle4_run7,277944
grid0_cycle5_run7,277944
grid0_cycle1_run8,277098
grid0_cycle2_run8,277098
grid0_cycle3_run8,277098
grid0_cycle4_run8,262848
grid0_cycle5_run8,271278
grid0_cycle1_run9,215124
grid0_cycle2_run9,215124
grid0_cycle3_run9,253968
grid0_cycle4_run9,270600
grid0_cycle5_run9,270600
grid1_cycle1_run0,279708
grid1_cycle2_run0,279708
grid1_cycle3_run0,279708
grid1_cycle4_run0,279708
grid1_cycle5_run0,279708
grid1_cycle1_run1,262212
grid1_cycle2_run1,254652
grid1_cycle3_run1,271506
grid1_cycle4_run1,271506
grid1_cycle5_run1,271506
grid1_cycle1_run2,255090
grid1_cycle2_run2,255090
grid1_cycle3_run2,255090
grid1_cycle4_run2,255090
grid1_cycle5_run2,255738
grid1_cycle1_run3,279486
grid1_cycle2_run3,279486
grid1_cycle3_run3,279486
grid1_cycle4_run3,279486
grid1_cycle5_run3,263730
grid1_cycle1_run4,270840
grid1_cycle2_run4,270840
grid1_cycle3_run4,255732
grid1_cycle4_run4,270420
grid1_cycle5_run4,270420
grid1_cycle1_run5,255300
grid1_cycle2_run5,255300
grid1_cycle3_run5,255300
grid1_cycle4_run5,255300
grid1_cycle5_run5,255300
grid1_cycle1_run6,254178
grid1_cycle2_run6,278406
grid1_cycle3_run6,256170
grid1_cycle4_run6,256170
grid1_cycle5_run6,256170
grid1_cycle1_run7,264366
grid1_cycle2_run7,271932
grid1_cycle3_run7,271932
grid1_cycle4_run7,271932
grid1_cycle5_run7,271932
grid1_cycle1_run8,278628
grid1_cycle2_run8,272154
grid1_cycle3_run8,272154
grid1_cycle4_run8,272154
grid1_cycle5_run8,272154
grid1_cycle1_run9,263250
grid1_cycle2_run9,279486
grid1_cycle3_run9,279486
grid1_cycle4_run9,279066
grid1_cycle5_run9,279066
grid2_cycle1_run0,277518
grid2_cycle2_run0,255294
grid2_cycle3_run0,271500
grid2_cycle4_run0,271290
grid2_cycle5_run0,271290
grid2_cycle1_run1,278844
grid2_cycle2_run1,256386
grid2_cycle3_run1,256386
grid2_cycle4_run1,256386
grid2_cycle5_run1,256386
grid2_cycle1_run2,272154
grid2_cycle2_run2,255738
grid2_cycle3_run2,255738
grid2_cycle4_run2,255738
grid2_cycle5_run2,255738
grid2_cycle1_run3,263292
grid2_cycle2_run3,263292
grid2_cycle3_run3,263292
grid2_cycle4_run3,263292
grid2_cycle5_run3,263292
grid2_cycle1_run4,277764
grid2_cycle2_run4,272154
grid2_cycle3_run4,272154
