,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle1_run0,261972,184146,216546,216576,216582,216612,216618,269682,269676,184140,263232,261906,263238,223020,261900,223026,223056,223062,223092,223098
grid0_cycle2_run0,184758,184974,184968,184752,185184,185190,231846,231840,231408,231414,231624,231630,186270,186048,186054,186264,186486,186480,278502,278064
grid0_cycle3_run0,222558,222342,230118,230550,230334,222774,276774,277206,269430,276990,269214,268998,222378,230586,230154,230370,222810,222594,224070,231414
grid0_cycle4_run0,272148,272142,272154,279930,279924,279918,271926,271932,271938,272136,269562,269556,269550,279714,279708,279702,279912,277338,277326,277332
grid0_cycle5_run0,272142,272148,272154,270858,270846,270852,271494,271716,271932,271926,271710,271938,271722,271506,271500,279918,279930,279924,278634,278622
grid0_cycle1_run1,279935,279503,279494,279495,279496,279497,279498,279499,279500,279501,279502,279708,279719,279709,279710,279711,279712,279713,279714,279715
grid0_cycle2_run1,279714,279930,279924,279708,279498,278418,278634,279492,278628,278412,278202,279690,279918,279696,279900,279684,279906,279912,279702,274746
grid0_cycle3_run1,279930,279924,279714,279498,278634,279708,279492,278628,233274,277338,278418,233268,278202,277332,279282,278412,279918,278196,279276,232842
grid0_cycle4_run1,279930,278850,279066,279060,278844,279282,279276,279714,279498,279924,279708,279492,278634,233274,277554,277770,232410,232194,277764,277548
grid0_cycle5_run1,279930,279714,279498,279282,278850,279066,278634,264378,272154,278418,278202,264162,279924,263946,271938,277986,277554,277770,271722,256602
grid0_cycle1_run2,208434,194394,216426,209730,194178,209946,200874,201954,208650,192882,200658,216210,202170,217722,193098,217506,223986,225282,225498,224202
grid0_cycle2_run2,278610,263058,270828,231954,270834,225474,263052,231948,225468,279900,279906,216396,216402,217692,264348,217698,233250,278604,224172,233244
grid0_cycle3_run2,232410,224634,232842,232194,224418,225066,233058,232626,232374,232338,225282,232806,224598,232158,224850,233274,224562,232122,224382,232770
grid0_cycle4_run2,269706,271002,278778,269922,277482,269742,271218,278772,270996,278994,269700,277476,269958,277698,269736,271038,269778,278988,271212,269916
grid0_cycle5_run2,279714,279930,279066,279282,279498,278850,278418,278634,277770,277986,278202,277554,279678,279894,279246,279462,279030,278814,278598,278382
grid0_cycle1_run3,271075,278853,271042,271041,271040,278819,278854,271038,278814,271254,271255,271256,271257,271258,271259,271074,279070,278855,279069,278850
grid0_cycle2_run3,279054,278838,279270,277758,277542,279486,277974,278190,279918,279702,278406,278622,279048,279036,279042,278820,278826,278832,271278,279264
grid0_cycle3_run3,279060,279276,279054,279492,279270,279708,277764,279066,277758,277980,279486,278844,279282,279498,271284,278196,277974,279048,279714,271500
grid0_cycle4_run3,269988,271284,269772,277764,269982,269994,271068,279060,277548,271278,269766,277758,271290,269778,277770,278844,271062,279054,277542,271074
grid0_cycle5_run3,279498,279492,279708,279714,271722,271716,271938,271932,279066,279060,279276,279282,278844,278850,279930,279486,279702,272154,271926,271710
grid0_cycle1_run4,246162,253932,246156,253938,238380,238386,238374,246150,253926,261708,261714,253974,253968,238416,246192,238422,246198,261702,246186,238410
grid0_cycle2_run4,260922,271068,269778,277764,277116,263724,268482,278202,264162,264156,271074,271284,263730,278196,271290,269556,277554,261132,279276,276252
grid0_cycle3_run4,278418,270642,262866,278382,270606,278634,270858,262830,263082,278598,278346,277122,270822,270570,269346,277086,269310,277338,263046,262794
grid0_cycle4_run4,278418,278634,278202,279714,277122,279930,277338,276906,278628,279498,270642,278412,270426,278406,278622,279924,277332,270858,271938,269346
grid0_cycle5_run4,264378,272154,279930,272118,279894,264306,279858,264342,272082,279714,271938,264162,272148,264372,279924,264090,271866,279678,271902,264126
grid0_cycle1_run5,264150,264114,271926,256374,271890,264366,264144,256338,264330,263934,264108,263898,264120,264126,264156,264162,271920,263718,272142,256368
grid0_cycle2_run5,263934,264150,263718,271926,264366,263898,271710,263682,271494,272142,263940,264114,264156,279702,271674,263724,263928,271458,279486,271932
grid0_cycle3_run5,263082,270642,262650,262866,270858,270426,278634,278418,255306,254874,255090,270846,270852,270636,263076,263070,270630,262860,262854,270414
grid0_cycle4_run5,263946,256170,262650,254874,255306,263082,255090,262866,263934,255294,256158,262638,254862,263070,256602,256386,264162,264378,255078,262854
grid0_cycle5_run5,263946,256170,263910,256134,262650,254874,262614,254838,263874,256098,264126,264162,271722,262578,271686,254802,279498,263940,264342,264378
grid0_cycle1_run6,262867,263082,264163,264164,264165,264166,264167,263084,263085,263086,263087,264383,264382,264381,264380,264379,264378,264162,263083,262871
grid0_cycle2_run6,263082,255306,264378,263076,270858,256602,255300,264372,272154,262434,261786,270852,256596,262218,254658,254010,262866,263730,254442,272148
grid0_cycle3_run6,261138,268914,261786,262434,253362,261570,269562,260922,263082,263730,270210,261354,269346,268878,268842,264378,270858,271506,269130,261102
grid0_cycle4_run6,264378,264366,256602,264372,256590,256596,263082,272154,264330,263076,264150,264162,264336,264156,263070,272148,263718,264342,264360,263730
grid0_cycle5_run6,264378,264372,272148,272154,264366,272142,263082,263076,270852,270858,263070,270846,279930,279924,256596,256602,256590,279918,278628,278634
grid0_cycle1_run7,277938,276642,272754,275346,274050,279234,273402,278586,277290,275994,274698,276606,277902,275310,272718,274014,279198,274662,275958,278550
grid0_cycle2_run7,279234,279198,277938,277902,232578,279240,279246,232542,279450,279414,231282,279162,278118,278154,279204,279210,277950,277944,231246,277866
grid0_cycle3_run7,278586,278550,279882,279846,278154,277938,278370,278592,278556,277902,278118,278334,270810,270774,279234,278544,278580,279450,279666,279198
grid0_cycle4_run7,279846,279882,279858,279852,279888,279894,278550,278586,278562,278556,278598,278592,272070,272106,279822,279816,279810,272082,272076,272118
grid0_cycle5_run7,278160,278166,278598,278592,270816,270822,277950,277944,278382,278376,270390,270384,270600,270606,278196,278202,270168,270174,278628,278634
grid0_cycle1_run8,238427,239679,239681,239682,239683,239684,239685,239686,239687,239706,239707,239708,239709,239710,239711,239712,239713,239714,239715,239716
grid0_cycle2_run8,269550,269556,269562,269514,269526,269520,222894,222900,222906,277326,277332,277338,222864,222870,222858,270846,270852,270858,269544,277290
grid0_cycle3_run8,231966,224190,216414,231960,224184,231954,216408,224178,278610,278622,278616,270834,270846,270840,263070,231750,263064,278406,278400,216402
grid0_cycle4_run8,262848,264144,271920,270624,278400,279696,217488,216192,225264,223968,263064,264360,233040,231744,270840,272136,262842,264138,271914,270618
grid0_cycle5_run8,271932,271938,279708,279714,271926,279702,264162,264156,270642,264150,270636,278418,278412,270630,262866,278406,271920,262860,271290,271722
grid0_cycle1_run9,269556,270852,222900,269340,261780,224196,270636,277332,263076,278628,222684,215124,261564,176244,223980,230676,269562,269550,216420,277116
grid0_cycle2_run9,222468,269340,230682,230250,230244,230466,230460,277116,269346,277332,269562,222474,277122,222906,222684,222690,222900,269130,269556,269124
grid0_cycle3_run9,278412,270636,270852,278628,270204,277980,270600,278376,270816,278592,278196,270420,262854,278406,270630,277974,270198,262422,270168,277944
grid0_cycle4_run9,278628,270852,279924,272148,277548,271068,269772,278844,233268,224196,231972,225492,270816,278592,272112,279888,230892,232188,224412,223116
grid0_cycle5_run9,270786,272082,270780,270570,272076,270822,271866,272118,270816,272112,263010,270564,270606,264306,271860,271902,270600,263004,271896,264300
grid1_cycle1_run0,279918,279912,279840,279846,278622,278616,279906,279924,278544,278550,279852,279834,279882,279876,278610,278628,278556,278538,279696,279702
grid1_cycle2_run0,279888,279924,279672,279708,279852,279894,279636,279930,279678,279714,279858,279642,279882,279024,279060,279918,279846,279456,279240,279666
grid1_cycle3_run0,279930,279924,279714,279708,272154,272148,264378,256602,256596,264372,271932,271938,270852,270858,256386,256380,264156,264162,279918,279060
grid1_cycle4_run0,279924,279276,278850,279060,279498,279708,279066,278844,279282,279930,279492,279714,271074,263730,271290,264162,263940,271068,264156,271284
grid1_cycle5_run0,279492,271710,279054,278850,278844,278838,271938,271932,271926,271290,271722,271716,279702,279066,279708,279714,279498,271506,271500,271494
grid1_cycle1_run1,277764,277770,277728,279060,277734,279066,279024,277548,279030,277554,277512,269988,269994,278844,277518,269952,269958,278850,278808,269772
grid1_cycle2_run1,255732,255948,255738,255954,254436,263724,263730,254652,254442,254658,263508,263514,262434,262428,262212,262218,271500,271506,270210,270204
grid1_cycle3_run1,271506,271500,255948,255954,263730,263724,279276,279282,271290,271284,270204,270210,271932,272154,272148,271938,271068,271074,271722,271716
grid1_cycle4_run1,271506,279276,271500,271716,271938,271932,279924,279708,279498,279492,279282,271722,279930,279714,272148,272154,271074,271068,279066,279060
grid1_cycle5_run1,278850,277770,270642,270858,262650,271074,271290,262866,271506,279282,263082,271722,263298,271938,272154,263514,263730,279066,263946,256386
grid1_cycle1_run2,262866,270642,270606,262830,270858,270822,263082,278418,278382,263046,278634,278598,255054,255090,270600,255270,270816,255306,270636,270852
grid1_cycle2_run2,271938,271722,279714,270642,279498,270426,278418,278202,264162,272154,263946,262866,279930,271932,262650,270858,271902,271716,279708,270636
grid1_cycle3_run2,264162,271938,279714,271722,263946,279498,264378,272154,270642,262866,279930,278418,271290,263514,271506,271074,263730,263298,263082,270858
grid1_cycle4_run2,263724,255738,256164,256170,255954,255948,264156,256380,263292,256386,264162,263514,264378,263298,256596,263730,263946,263940,255732,256602
grid1_cycle5_run2,263730,256602,271074,279714,271938,264378,255954,271290,271722,256386,263946,263514,279066,271506,263298,255522,256170,255738,278850,264162
grid1_cycle1_run3,277722,279018,278154,279450,278586,278370,279882,279666,279486,278190,279054,279702,279918,277758,278406,278622,277506,278802,278118,279414
grid1_cycle2_run3,278190,278196,279486,278406,278622,277974,279492,278628,278412,277758,279918,279702,277980,279270,277764,279924,279708,279054,279276,278154
grid1_cycle3_run3,278196,279708,279492,278190,279486,278406,278412,279702,278202,278418,279714,279498,279924,278622,278628,279918,279276,279270,277974,277980
grid1_cycle4_run3,276462,276612,277254,276606,278586,278118,277770,277260,278124,277764,278592,278130,278556,277758,277266,278598,277734,276618,278154,279630
grid1_cycle5_run3,253350,261738,253788,261714,253782,256518,263652,256524,260850,256530,260844,263646,253752,255306,253746,253320,255300,261744,260838,255294
grid1_cycle1_run4,279048,279060,279054,279066,278832,277752,278844,277764,278838,277758,276474,276468,277770,278850,277536,276462,276456,277548,277542,276258
grid1_cycle2_run4,272136,264360,279912,256584,270840,263064,278616,255288,264366,272142,279918,225480,271920,264372,272148,264144,279924,233256,217704,279696
grid1_cycle3_run4,279048,278832,263496,263280,279912,264360,271056,271272,272136,279696,279264,279480,263712,264144,263928,271704,271920,271488,279918,264366
grid1_cycle4_run4,278832,279480,279048,279912,271272,271488,271920,279264,271056,271704,272136,279696,271932,271710,278838,278844,271074,279270,271068,271938
grid1_cycle5_run4,277506,256302,279414,261954,255936,255870,278544,278976,277542,256374,262998,279702,277938,263892,277536,254568,255000,254574,279408,279696
grid1_cycle1_run5,263076,255300,264372,263040,256596,255264,264336,256560,263082,263046,255306,264378,255270,264342,256602,256566,262644,262428,262212,270852
grid1_cycle2_run5,262002,254442,270210,254226,271290,271506,269994,279282,277554,263298,277770,279066,262434,255954,263730,277986,254658,269778,278850,263514
grid1_cycle3_run5,255522,255516,254442,255738,255732,254436,254226,255948,255954,254220,254658,254652,256380,256170,255300,254874,256386,256596,256602,256164
grid1_cycle4_run5,264150,278418,262428,278190,278196,278202,262422,256374,263718,263724,256380,263730,278406,278412,270858,271494,270852,270846,263934,263940
grid1_cycle5_run5,272148,264150,272154,278622,279882,264126,263040,278628,278634,279888,264120,270810,270822,270606,279894,263082,279666,264114,270858,262854
grid1_cycle1_run6,276432,276216,277728,277512,268656,260880,268440,260664,253104,252888,269952,269736,276222,276438,261960,262176,277518,277734,254184,254400
grid1_cycle2_run6,256344,256560,264120,255264,255048,264336,263040,262824,256128,271896,263904,255300,272112,256380,255084,270816,270600,256596,263076,264156
grid1_cycle3_run6,256164,256170,279492,279498,263940,263946,256380,256386,256602,256596,279714,279708,254868,254874,279930,279924,248388,248394,271722,271716
grid1_cycle4_run6,272148,279498,255948,271500,264378,264372,263724,263730,264162,271938,271932,264156,256386,256380,263946,263940,271722,279714,279708,255954
grid1_cycle5_run6,279708,278166,279462,278634,278202,278376,278382,278196,278412,278418,279894,279714,279888,279456,278628,278160,279492,279924,278598,278592
grid1_cycle1_run7,272142,264366,256590,270846,263070,264360,272136,255294,264150,271926,256584,263064,270840,256374,271920,264144,279918,255288,256368,270630
grid1_cycle2_run7,271932,270636,279708,278412,272148,279924,270852,278628,271926,270630,279702,278406,271500,271716,264156,270420,270204,272142,279492,279276
grid1_cycle3_run7,271932,270636,278412,279708,278628,272148,270852,279924,271500,278196,270204,279276,269988,271716,277980,271284,279060,277764,279492,270420
