,0
grid0_cycle1_run0,0
grid0_cycle2_run0,0
grid0_cycle3_run0,0
grid0_cycle4_run0,44
grid0_cycle5_run0,61
grid0_cycle1_run1,13
grid0_cycle2_run1,23
grid0_cycle3_run1,26
grid0_cycle4_run1,27
grid0_cycle5_run1,81
grid0_cycle1_run2,16
grid0_cycle2_run2,0
grid0_cycle3_run2,13
grid0_cycle4_run2,16
grid0_cycle5_run2,53
grid0_cycle1_run3,7
grid0_cycle2_run3,34
grid0_cycle3_run3,69
grid0_cycle4_run3,65
grid0_cycle5_run3,60
grid0_cycle1_run4,3
grid0_cycle2_run4,61
grid0_cycle3_run4,31
grid0_cycle4_run4,49
grid0_cycle5_run4,44
grid0_cycle1_run5,32
grid0_cycle2_run5,41
grid0_cycle3_run5,56
grid0_cycle4_run5,50
grid0_cycle5_run5,36
grid0_cycle1_run6,9
grid0_cycle2_run6,59
grid0_cycle3_run6,27
grid0_cycle4_run6,52
grid0_cycle5_run6,59
grid0_cycle1_run7,0
grid0_cycle2_run7,0
grid0_cycle3_run7,6
grid0_cycle4_run7,8
grid0_cycle5_run7,28
grid0_cycle1_run8,0
grid0_cycle2_run8,9
grid0_cycle3_run8,8
grid0_cycle4_run8,3
grid0_cycle5_run8,72
grid0_cycle1_run9,15
grid0_cycle2_run9,32
grid0_cycle3_run9,27
grid0_cycle4_run9,33
grid0_cycle5_run9,5
grid1_cycle1_run0,13
grid1_cycle2_run0,28
grid1_cycle3_run0,77
grid1_cycle4_run0,90
grid1_cycle5_run0,51
grid1_cycle1_run1,34
grid1_cycle2_run1,85
grid1_cycle3_run1,88
grid1_cycle4_run1,81
grid1_cycle5_run1,69
grid1_cycle1_run2,32
grid1_cycle2_run2,49
grid1_cycle3_run2,87
grid1_cycle4_run2,71
grid1_cycle5_run2,65
grid1_cycle1_run3,16
grid1_cycle2_run3,39
grid1_cycle3_run3,47
grid1_cycle4_run3,14
grid1_cycle5_run3,16
grid1_cycle1_run4,26
grid1_cycle2_run4,26
grid1_cycle3_run4,43
grid1_cycle4_run4,50
grid1_cycle5_run4,3
grid1_cycle1_run5,40
grid1_cycle2_run5,61
grid1_cycle3_run5,83
grid1_cycle4_run5,77
grid1_cycle5_run5,38
grid1_cycle1_run6,4
grid1_cycle2_run6,42
grid1_cycle3_run6,68
grid1_cycle4_run6,50
grid1_cycle5_run6,27
grid1_cycle1_run7,22
grid1_cycle2_run7,53
grid1_cycle3_run7,73
grid1_cycle4_run7,74
grid1_cycle5_run7,76
grid1_cycle1_run8,23
grid1_cycle2_run8,31
grid1_cycle3_run8,33
grid1_cycle4_run8,45
grid1_cycle5_run8,45
grid1_cycle1_run9,3
grid1_cycle2_run9,35
grid1_cycle3_run9,62
grid1_cycle4_run9,35
grid1_cycle5_run9,57
grid2_cycle1_run0,16
grid2_cycle2_run0,52
grid2_cycle3_run0,64
grid2_cycle4_run0,24
grid2_cycle5_run0,27
grid2_cycle1_run1,51
grid2_cycle2_run1,62
grid2_cycle3_run1,30
grid2_cycle4_run1,30
grid2_cycle5_run1,31
grid2_cycle1_run2,79
grid2_cycle2_run2,69
grid2_cycle3_run2,87
grid2_cycle4_run2,54
grid2_cycle5_run2,60
grid2_cycle1_run3,43
grid2_cycle2_run3,57
grid2_cycle3_run3,51
grid2_cycle4_run3,85
grid2_cycle5_run3,85
grid2_cycle1_run4,58
grid2_cycle2_run4,51
grid2_cycle3_run4,22
grid2_cycle4_run4,29
grid2_cycle5_run4,13
grid2_cycle1_run5,24
grid2_cycle2_run5,70
grid2_cycle3_run5,47
grid2_cycle4_run5,85
grid2_cycle5_run5,85
grid2_cycle1_run6,38
grid2_cycle2_run6,35
grid2_cycle3_run6,36
grid2_cycle4_run6,22
grid2_cycle5_run6,14
grid2_cycle1_run7,43
grid2_cycle2_run7,36
grid2_cycle3_run7,40
grid2_cycle4_run7,13
grid2_cycle5_run7,7
grid2_cycle1_run8,70
grid2_cycle2_run8,19
grid2_cycle3_run8,27
grid2_cycle4_run8,8
grid2_cycle5_run8,32
grid2_cycle1_run9,47
grid2_cycle2_run9,32
grid2_cycle3_run9,17
grid2_cycle4_run9,17
grid2_cycle5_run9,17
grid3_cycle1_run0,68
grid3_cycle2_run0,72
grid3_cycle3_run0,66
grid3_cycle4_run0,27
grid3_cycle5_run0,7
grid3_cycle1_run1,46
grid3_cycle2_run1,31
grid3_cycle3_run1,17
grid3_cycle4_run1,15
grid3_cycle5_run1,3
grid3_cycle1_run2,76
grid3_cycle2_run2,78
grid3_cycle3_run2,86
grid3_cycle4_run2,27
grid3_cycle5_run2,9
grid3_cycle1_run3,31
grid3_cycle2_run3,42
grid3_cycle3_run3,12
grid3_cycle4_run3,10
grid3_cycle5_run3,7
grid3_cycle1_run4,61
grid3_cycle2_run4,27
grid3_cycle3_run4,22
grid3_cycle4_run4,11
grid3_cycle5_run4,4
grid3_cycle1_run5,77
grid3_cycle2_run5,20
grid3_cycle3_run5,12
grid3_cycle4_run5,27
grid3_cycle5_run5,8
grid3_cycle1_run6,47
grid3_cycle2_run6,2
grid3_cycle3_run6,6
grid3_cycle4_run6,5
grid3_cycle5_run6,5
grid3_cycle1_run7,26
grid3_cycle2_run7,26
grid3_cycle3_run7,19
grid3_cycle4_run7,14
grid3_cycle5_run7,8
grid3_cycle1_run8,26
grid3_cycle2_run8,6
grid3_cycle3_run8,16
grid3_cycle4_run8,2
grid3_cycle5_run8,1
grid3_cycle1_run9,48
grid3_cycle2_run9,36
