,0
grid0_cycle1_run0,122646
grid0_cycle2_run0,261498
grid0_cycle3_run0,256524
grid0_cycle4_run0,256524
grid0_cycle5_run0,256524
grid0_cycle1_run1,215994
grid0_cycle2_run1,264162
grid0_cycle3_run1,279066
grid0_cycle4_run1,279066
grid0_cycle5_run1,279066
grid0_cycle1_run2,279924
grid0_cycle2_run2,279924
grid0_cycle3_run2,279924
grid0_cycle4_run2,279924
grid0_cycle5_run2,279924
grid0_cycle1_run3,279480
grid0_cycle2_run3,279480
grid0_cycle3_run3,264378
grid0_cycle4_run3,264378
grid0_cycle5_run3,264378
grid0_cycle1_run4,264342
grid0_cycle2_run4,264342
grid0_cycle3_run4,279282
grid0_cycle4_run4,271938
grid0_cycle5_run4,271938
grid0_cycle1_run5,279498
grid0_cycle2_run5,279498
grid0_cycle3_run5,279498
grid0_cycle4_run5,279498
grid0_cycle5_run5,279498
grid0_cycle1_run6,279930
grid0_cycle2_run6,279930
grid0_cycle3_run6,279930
grid0_cycle4_run6,279930
grid0_cycle5_run6,279930
grid0_cycle1_run7,272154
grid0_cycle2_run7,263730
grid0_cycle3_run7,279930
grid0_cycle4_run7,279930
grid0_cycle5_run7,279930
grid0_cycle1_run8,263730
grid0_cycle2_run8,263730
grid0_cycle3_run8,263730
grid0_cycle4_run8,263730
grid0_cycle5_run8,279498
grid0_cycle1_run9,279282
grid0_cycle2_run9,278850
grid0_cycle3_run9,278850
grid0_cycle4_run9,263298
grid0_cycle5_run9,263298
grid1_cycle1_run0,271722
grid1_cycle2_run0,279930
grid1_cycle3_run0,279930
grid1_cycle4_run0,279930
grid1_cycle5_run0,279930
grid1_cycle1_run1,272154
grid1_cycle2_run1,272154
grid1_cycle3_run1,272154
grid1_cycle4_run1,272154
grid1_cycle5_run1,272154
grid1_cycle1_run2,272154
grid1_cycle2_run2,272154
grid1_cycle3_run2,263298
grid1_cycle4_run2,263298
grid1_cycle5_run2,272154
grid1_cycle1_run3,279930
grid1_cycle2_run3,272154
grid1_cycle3_run3,272154
grid1_cycle4_run3,272154
grid1_cycle5_run3,272154
grid1_cycle1_run4,279930
grid1_cycle2_run4,279930
grid1_cycle3_run4,279930
grid1_cycle4_run4,279930
grid1_cycle5_run4,279930
grid1_cycle1_run5,279714
grid1_cycle2_run5,279714
grid1_cycle3_run5,279714
grid1_cycle4_run5,279714
grid1_cycle5_run5,279714
grid1_cycle1_run6,279282
grid1_cycle2_run6,278850
grid1_cycle3_run6,278850
grid1_cycle4_run6,278850
grid1_cycle5_run6,278850
grid1_cycle1_run7,271506
grid1_cycle2_run7,271506
grid1_cycle3_run7,271506
grid1_cycle4_run7,279282
grid1_cycle5_run7,279282
grid1_cycle1_run8,279282
grid1_cycle2_run8,264378
grid1_cycle3_run8,264378
grid1_cycle4_run8,264378
grid1_cycle5_run8,264378
grid1_cycle1_run9,279066
grid1_cycle2_run9,279066
grid1_cycle3_run9,271074
grid1_cycle4_run9,271074
grid1_cycle5_run9,271722
grid2_cycle1_run0,279282
grid2_cycle2_run0,279282
grid2_cycle3_run0,279282
grid2_cycle4_run0,279714
grid2_cycle5_run0,279714
grid2_cycle1_run1,263514
grid2_cycle2_run1,279282
grid2_cycle3_run1,279282
grid2_cycle4_run1,279282
grid2_cycle5_run1,279282
grid2_cycle1_run2,279930
grid2_cycle2_run2,271506
grid2_cycle3_run2,263730
grid2_cycle4_run2,263730
grid2_cycle5_run2,279066
grid2_cycle1_run3,278850
grid2_cycle2_run3,278850
grid2_cycle3_run3,278850
grid2_cycle4_run3,278850
grid2_cycle5_run3,271506
grid2_cycle1_run4,264162
grid2_cycle2_run4,279498
grid2_cycle3_run4,264378
grid2_cycle4_run4,264378
grid2_cycle5_run4,279498
grid2_cycle1_run5,271506
grid2_cycle2_run5,279282
grid2_cycle3_run5,279282
grid2_cycle4_run5,271938
grid2_cycle5_run5,271938
grid2_cycle1_run6,278850
grid2_cycle2_run6,278850
grid2_cycle3_run6,271068
grid2_cycle4_run6,271068
grid2_cycle5_run6,271068
grid2_cycle1_run7,278850
grid2_cycle2_run7,279066
grid2_cycle3_run7,279066
grid2_cycle4_run7,279066
grid2_cycle5_run7,279066
grid2_cycle1_run8,271722
grid2_cycle2_run8,279498
grid2_cycle3_run8,279498
grid2_cycle4_run8,279498
grid2_cycle5_run8,279282
grid2_cycle1_run9,278850
grid2_cycle2_run9,279282
grid2_cycle3_run9,279714
grid2_cycle4_run9,279714
grid2_cycle5_run9,271722
grid3_cycle1_run0,279498
grid3_cycle2_run0,279498
grid3_cycle3_run0,279498
grid3_cycle4_run0,279498
grid3_cycle5_run0,279498
grid3_cycle1_run1,271722
grid3_cycle2_run1,264378
grid3_cycle3_run1,264378
grid3_cycle4_run1,264378
grid3_cycle5_run1,264378
grid3_cycle1_run2,279498
grid3_cycle2_run2,279498
grid3_cycle3_run2,264162
grid3_cycle4_run2,264162
grid3_cycle5_run2,264162
grid3_cycle1_run3,271290
grid3_cycle2_run3,279714
grid3_cycle3_run3,279714
grid3_cycle4_run3,264162
grid3_cycle5_run3,279498
grid3_cycle1_run4,279282
grid3_cycle2_run4,279282
grid3_cycle3_run4,279282
grid3_cycle4_run4,279282
grid3_cycle5_run4,279282
grid3_cycle1_run5,271938
grid3_cycle2_run5,271938
grid3_cycle3_run5,271938
grid3_cycle4_run5,271938
grid3_cycle5_run5,271938
grid3_cycle1_run6,279930
grid3_cycle2_run6,279930
grid3_cycle3_run6,279930
grid3_cycle4_run6,279930
grid3_cycle5_run6,279930
grid3_cycle1_run7,279714
grid3_cycle2_run7,279714
grid3_cycle3_run7,278850
grid3_cycle4_run7,264162
grid3_cycle5_run7,264162
grid3_cycle1_run8,279930
grid3_cycle2_run8,279930
grid3_cycle3_run8,279282
grid3_cycle4_run8,279282
grid3_cycle5_run8,279282
grid3_cycle1_run9,279498
grid3_cycle2_run9,279498
grid3_cycle3_run9,264162
grid3_cycle4_run9,264162
grid3_cycle5_run9,264162
grid4_cycle1_run0,271506
grid4_cycle2_run0,264162
grid4_cycle3_run0,263514
grid4_cycle4_run0,263514
grid4_cycle5_run0,263514
grid4_cycle1_run1,263946
grid4_cycle2_run1,278850
grid4_cycle3_run1,278850
grid4_cycle4_run1,278850
grid4_cycle5_run1,279498
grid4_cycle1_run2,279714
grid4_cycle2_run2,279714
grid4_cycle3_run2,272154
grid4_cycle4_run2,279282
grid4_cycle5_run2,279282
grid4_cycle1_run3,271506
