,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle1_run0,239790,240006,240222,239826,240042,240438,240258,240654,240474,239862,240690,240078,240294,240870,240510,247566,239898,240726,247782,240114
grid0_cycle2_run0,241050,248826,241014,240978,256602,248790,240942,248754,240906,240870,248718,248682,264378,248646,256566,256530,256494,241051,256458,272154
grid0_cycle3_run0,241050,248826,241014,256602,240978,248790,240942,241051,248754,240906,240870,248718,248827,264378,248682,256566,248646,256530,241015,256494
grid0_cycle4_run0,279930,279924,279918,279912,279906,279900,279931,272154,279925,279919,264378,279913,279907,272148,279901,279894,272142,279714,256602,272136
grid0_cycle5_run0,279930,279924,279918,279912,279906,279900,279894,279858,279931,279888,279822,279882,279876,279852,279786,279925,279870,279846,279864,272154
grid0_cycle1_run1,239970,247746,255522,240186,263298,247962,271074,255738,263514,239971,271290,247747,240402,255523,248178,240187,278850,263299,247963,255954
grid0_cycle2_run1,278850,279066,279282,279498,279714,279930,271074,271290,271506,271722,263298,277554,263514,271938,277770,263730,277986,263946,255522,278202
grid0_cycle3_run1,278850,279066,279282,279498,279714,271074,271290,263298,271506,277554,263514,277770,279930,271722,255522,263730,277986,255738,276258,271938
grid0_cycle4_run1,278850,279066,279282,279498,279714,278844,277554,279060,271074,278814,277770,271290,279030,278838,279276,279930,277986,279054,276258,271506
grid0_cycle5_run1,278850,279066,279282,279498,279714,278844,279060,277554,279930,271074,277770,278814,271290,279276,278838,279030,279054,277986,271506,279492
grid0_cycle1_run2,279900,279906,279684,279468,279252,279036,278820,279690,279474,279258,279042,279912,278826,279696,279480,279264,279048,279918,278832,278604
grid0_cycle2_run2,279930,279924,279918,279912,279906,279900,272154,264378,272148,272142,256602,272136,264372,272130,272124,264366,248826,264360,256596,264354
grid0_cycle3_run2,279900,279906,279912,279918,279684,279924,279690,279468,279474,279696,279252,279258,279480,279036,279702,278820,279042,279264,279486,278826
grid0_cycle4_run2,279900,279906,279912,279918,279924,279684,279690,279468,279474,279696,279252,279258,279480,279702,279036,278820,279042,279264,279486,279708
grid0_cycle5_run2,279900,279906,279912,279918,279924,279684,279690,279468,279696,279930,279474,279702,279252,279480,279258,279708,279486,279036,279264,279042
grid0_cycle1_run3,278820,279036,279252,278826,279042,279468,279258,279684,279474,278832,279690,279048,279264,279900,279480,278838,279696,279054,279906,279270
grid0_cycle2_run3,279900,279906,279912,279918,279924,279930,279684,279690,279696,279864,279702,279870,279708,279876,279882,279888,279714,279894,278604,278610
grid0_cycle3_run3,279930,279924,279918,279912,279714,279906,279900,279498,279894,272154,279282,279708,279858,279066,279702,264378,278850,279492,278634,279696
grid0_cycle4_run3,279930,279924,279714,279918,279498,279912,279282,279894,279906,279066,279900,278850,279858,279708,279702,279492,279822,272154,279696,279486
grid0_cycle5_run3,279930,279924,279714,279918,279498,279912,279282,279906,279900,272154,279066,279894,278850,279708,264378,279702,279492,279858,279696,279486
grid0_cycle1_run4,278670,278886,278706,279102,278922,279318,279138,279534,279354,278742,278958,279570,279174,279390,278778,278994,279606,279750,279210,279786
grid0_cycle2_run4,278850,279066,279282,279498,279714,279930,271074,271290,271506,271722,263298,263514,271938,263730,263946,255522,255738,264162,278844,255954
grid0_cycle3_run4,278850,279066,279282,279498,279714,279930,278844,279060,279276,279492,279708,271074,271290,271506,271722,279924,271938,278838,279054,279270
grid0_cycle4_run4,279930,279714,279498,279282,279066,278850,279924,279708,279492,279276,279918,279060,278844,279702,279486,279270,279912,279054,272154,278838
grid0_cycle5_run4,278850,279066,279282,279498,279714,279930,278844,279060,279276,279492,279708,279924,278838,279054,279270,279486,279702,279918,278832,279048
grid0_cycle1_run5,279935,279933,279932,279931,279930,279934,279926,279925,279924,279927,279928,279929,279923,279922,279921,279920,279919,279918,272159,272154
grid0_cycle2_run5,278850,279066,278851,279282,279067,278844,278814,278838,279060,278778,279030,278832,279498,279054,279283,278845,278826,278742,278994,279048
grid0_cycle3_run5,278850,279066,279282,279498,279714,278851,279067,279283,279499,279930,279715,278844,279060,279276,278838,277554,279492,279931,279054,277770
grid0_cycle4_run5,278850,279066,279282,279498,279714,278851,279067,279930,279283,279499,278844,279060,279715,279276,278838,279492,279054,279708,279270,279931
grid0_cycle5_run5,278850,279066,279282,279498,279714,278844,278851,279060,279067,278838,279276,279054,279283,278832,279492,279270,279048,279499,278826,279930
grid0_cycle1_run6,273450,274746,276042,277338,278634,279930,265674,273444,266970,274740,268266,276036,269562,277332,257898,273438,259194,270858,274734,278628
grid0_cycle2_run6,278850,279066,278844,278838,278832,278826,279060,278820,279054,279048,279282,279042,279036,279276,279270,278814,279264,279498,279258,279252
grid0_cycle3_run6,278850,279066,279282,279498,279714,278844,279060,278838,279276,279054,279930,279492,278832,279270,279048,279708,279486,278826,279264,279042
grid0_cycle4_run6,278850,279066,279282,279498,279714,279930,278844,279060,279276,279492,278838,279708,279054,279270,279486,278832,279702,279048,279924,279264
grid0_cycle5_run6,278850,279066,279282,279498,279714,279930,278844,279060,279276,278838,279492,279054,279708,279270,278832,279486,279048,279702,279264,278826
grid0_cycle1_run7,279930,272154,279714,264378,279498,256602,279924,248826,279282,241050,279066,279918,271938,278850,264162,271722,279912,256386,263946,272148
grid0_cycle2_run7,279930,279714,279498,279282,272154,279066,278850,264378,279924,279894,256602,271938,279918,279858,271722,248826,264162,241050,271506,279708
grid0_cycle3_run7,279930,279714,279498,279282,279066,279924,278850,279918,279912,279708,272154,279492,279906,279702,279276,279900,279486,264378,279060,278844
grid0_cycle4_run7,278850,279066,279282,279498,279714,279930,271074,271290,271506,271722,271938,278844,279060,279276,263298,272154,279492,263514,279708,263730
grid0_cycle5_run7,279930,279714,279498,279282,279066,278850,279924,279918,272154,279708,279492,279894,279276,279912,279060,279702,278844,271938,264378,279486
grid0_cycle1_run8,279930,272154,264378,256602,248826,241050,279714,279498,271938,264162,256386,279282,248610,271722,240834,263946,256170,279066,248394,271506
grid0_cycle2_run8,278850,279066,279282,279498,279714,279930,278844,279060,279276,279492,279708,279924,278838,279054,279270,279486,279702,279918,278832,279048
grid0_cycle3_run8,278850,279066,279282,279498,279714,279930,278844,279060,279276,278838,279492,279054,279708,279270,278832,279486,279048,279702,279264,278826
grid0_cycle4_run8,278850,279066,279282,279498,279714,279930,278844,279060,279276,279492,279708,271074,271290,271506,271722,279924,271938,278838,279054,279270
grid0_cycle5_run8,278850,279066,279282,279498,279714,279930,278844,279060,279276,279492,279708,279924,278838,279054,279270,279486,279702,279918,271074,271290
grid0_cycle1_run9,279930,279714,279498,279282,279066,278850,272154,271938,278634,271722,271506,264378,271290,271074,278418,278202,264162,277986,263946,277770
grid0_cycle2_run9,278850,279066,279282,279498,278844,279060,278838,279714,279054,278832,279276,279048,278826,279270,278820,279492,271074,279042,279264,279036
grid0_cycle3_run9,278850,279066,279282,279498,278844,279060,279714,278838,279054,278832,279276,279048,278826,279270,278820,279492,279042,279264,279036,271074
grid0_cycle4_run9,278850,279066,279282,279498,278844,279060,278838,279714,279054,278832,279276,279048,278826,279270,271074,278820,279042,279492,271290,279036
grid0_cycle5_run9,278850,279066,278844,279282,278838,279060,278832,279054,278826,279498,279048,278820,279276,279042,279036,279270,279714,279264,279492,279258
grid1_cycle1_run0,279930,279714,279894,279498,279282,279858,279066,279822,278850,279924,279786,279678,233274,279750,279918,279462,278634,279642,279246,279426
grid1_cycle2_run0,279930,279714,279498,279282,279066,278850,279924,279708,279492,279918,279276,279060,278844,279702,279486,279912,279270,279054,278838,279696
grid1_cycle3_run0,279930,279714,279498,279282,279066,278850,279924,279708,279492,279276,279060,278844,279918,272154,279702,279486,279270,271938,279054,271722
grid1_cycle4_run0,279930,279714,279498,279282,279066,278850,279924,279708,279492,279276,279060,278844,279918,272154,279702,271938,279486,271722,279270,271506
