,0
grid0_cycle1_run0,0
grid0_cycle2_run0,6
grid0_cycle3_run0,6
grid0_cycle4_run0,21
grid0_cycle5_run0,19
grid0_cycle1_run1,20
grid0_cycle2_run1,45
grid0_cycle3_run1,48
grid0_cycle4_run1,37
grid0_cycle5_run1,41
grid0_cycle1_run2,11
grid0_cycle2_run2,36
grid0_cycle3_run2,34
grid0_cycle4_run2,28
grid0_cycle5_run2,27
grid0_cycle1_run3,11
grid0_cycle2_run3,25
grid0_cycle3_run3,34
grid0_cycle4_run3,28
grid0_cycle5_run3,40
grid0_cycle1_run4,9
grid0_cycle2_run4,48
grid0_cycle3_run4,45
grid0_cycle4_run4,48
grid0_cycle5_run4,47
grid0_cycle1_run5,9
grid0_cycle2_run5,22
grid0_cycle3_run5,32
grid0_cycle4_run5,28
grid0_cycle5_run5,33
grid0_cycle1_run6,12
grid0_cycle2_run6,14
grid0_cycle3_run6,47
grid0_cycle4_run6,37
grid0_cycle5_run6,46
grid0_cycle1_run7,52
grid0_cycle2_run7,42
grid0_cycle3_run7,54
grid0_cycle4_run7,58
grid0_cycle5_run7,43
grid0_cycle1_run8,59
grid0_cycle2_run8,58
grid0_cycle3_run8,57
grid0_cycle4_run8,56
grid0_cycle5_run8,48
grid0_cycle1_run9,44
grid0_cycle2_run9,49
grid0_cycle3_run9,46
grid0_cycle4_run9,49
grid0_cycle5_run9,47
grid1_cycle1_run0,26
grid1_cycle2_run0,47
grid1_cycle3_run0,48
grid1_cycle4_run0,47
grid1_cycle5_run0,46
grid1_cycle1_run1,47
grid1_cycle2_run1,52
grid1_cycle3_run1,51
grid1_cycle4_run1,50
grid1_cycle5_run1,46
grid1_cycle1_run2,13
grid1_cycle2_run2,39
grid1_cycle3_run2,46
grid1_cycle4_run2,50
grid1_cycle5_run2,51
grid1_cycle1_run3,40
grid1_cycle2_run3,46
grid1_cycle3_run3,56
grid1_cycle4_run3,51
grid1_cycle5_run3,50
grid1_cycle1_run4,34
grid1_cycle2_run4,54
grid1_cycle3_run4,57
grid1_cycle4_run4,56
grid1_cycle5_run4,60
grid1_cycle1_run5,42
grid1_cycle2_run5,41
grid1_cycle3_run5,43
grid1_cycle4_run5,41
grid1_cycle5_run5,45
grid1_cycle1_run6,34
grid1_cycle2_run6,47
grid1_cycle3_run6,58
grid1_cycle4_run6,57
grid1_cycle5_run6,54
grid1_cycle1_run7,45
grid1_cycle2_run7,48
grid1_cycle3_run7,54
grid1_cycle4_run7,55
grid1_cycle5_run7,55
grid1_cycle1_run8,49
grid1_cycle2_run8,58
grid1_cycle3_run8,53
grid1_cycle4_run8,57
grid1_cycle5_run8,55
grid1_cycle1_run9,23
grid1_cycle2_run9,42
grid1_cycle3_run9,47
grid1_cycle4_run9,46
grid1_cycle5_run9,52
grid2_cycle1_run0,49
grid2_cycle2_run0,52
grid2_cycle3_run0,49
grid2_cycle4_run0,47
grid2_cycle5_run0,45
grid2_cycle1_run1,54
grid2_cycle2_run1,49
grid2_cycle3_run1,48
grid2_cycle4_run1,47
grid2_cycle5_run1,49
grid2_cycle1_run2,47
grid2_cycle2_run2,55
grid2_cycle3_run2,57
grid2_cycle4_run2,56
grid2_cycle5_run2,58
grid2_cycle1_run3,39
grid2_cycle2_run3,55
grid2_cycle3_run3,55
grid2_cycle4_run3,59
grid2_cycle5_run3,59
grid2_cycle1_run4,50
grid2_cycle2_run4,56
grid2_cycle3_run4,56
grid2_cycle4_run4,47
grid2_cycle5_run4,51
grid2_cycle1_run5,42
grid2_cycle2_run5,46
grid2_cycle3_run5,47
grid2_cycle4_run5,50
grid2_cycle5_run5,53
grid2_cycle1_run6,47
grid2_cycle2_run6,51
grid2_cycle3_run6,51
grid2_cycle4_run6,54
grid2_cycle5_run6,55
grid2_cycle1_run7,54
grid2_cycle2_run7,58
grid2_cycle3_run7,51
grid2_cycle4_run7,53
grid2_cycle5_run7,52
grid2_cycle1_run8,45
grid2_cycle2_run8,51
grid2_cycle3_run8,54
grid2_cycle4_run8,56
grid2_cycle5_run8,56
grid2_cycle1_run9,51
grid2_cycle2_run9,50
grid2_cycle3_run9,50
grid2_cycle4_run9,52
grid2_cycle5_run9,55
grid3_cycle1_run0,54
grid3_cycle2_run0,54
grid3_cycle3_run0,55
grid3_cycle4_run0,56
grid3_cycle5_run0,56
grid3_cycle1_run1,57
grid3_cycle2_run1,52
grid3_cycle3_run1,55
grid3_cycle4_run1,53
grid3_cycle5_run1,56
grid3_cycle1_run2,46
grid3_cycle2_run2,39
grid3_cycle3_run2,46
grid3_cycle4_run2,51
grid3_cycle5_run2,51
grid3_cycle1_run3,47
grid3_cycle2_run3,52
grid3_cycle3_run3,53
grid3_cycle4_run3,53
grid3_cycle5_run3,55
grid3_cycle1_run4,45
grid3_cycle2_run4,47
grid3_cycle3_run4,52
grid3_cycle4_run4,53
grid3_cycle5_run4,56
grid3_cycle1_run5,39
grid3_cycle2_run5,44
grid3_cycle3_run5,47
grid3_cycle4_run5,47
grid3_cycle5_run5,52
grid3_cycle1_run6,54
grid3_cycle2_run6,55
grid3_cycle3_run6,47
grid3_cycle4_run6,50
grid3_cycle5_run6,48
grid3_cycle1_run7,47
grid3_cycle2_run7,56
grid3_cycle3_run7,55
grid3_cycle4_run7,54
grid3_cycle5_run7,55
grid3_cycle1_run8,52
grid3_cycle2_run8,57
grid3_cycle3_run8,49
grid3_cycle4_run8,49
grid3_cycle5_run8,49
grid3_cycle1_run9,60
grid3_cycle2_run9,55
grid3_cycle3_run9,56
grid3_cycle4_run9,55
grid3_cycle5_run9,53
grid4_cycle1_run0,43
grid4_cycle2_run0,47
grid4_cycle3_run0,52
grid4_cycle4_run0,52
grid4_cycle5_run0,56
grid4_cycle1_run1,47
grid4_cycle2_run1,49
grid4_cycle3_run1,49
grid4_cycle4_run1,51
grid4_cycle5_run1,51
grid4_cycle1_run2,47
grid4_cycle2_run2,54
grid4_cycle3_run2,54
grid4_cycle4_run2,51
grid4_cycle5_run2,56
grid4_cycle1_run3,58
grid4_cycle2_run3,56
grid4_cycle3_run3,56
grid4_cycle4_run3,57
grid4_cycle5_run3,56
grid4_cycle1_run4,50
grid4_cycle2_run4,53
grid4_cycle3_run4,54
grid4_cycle4_run4,55
grid4_cycle5_run4,56
grid4_cycle1_run5,47
grid4_cycle2_run5,52
grid4_cycle3_run5,56
grid4_cycle4_run5,56
grid4_cycle5_run5,54
grid4_cycle1_run6,39
grid4_cycle2_run6,49
grid4_cycle3_run6,47
grid4_cycle4_run6,51
grid4_cycle5_run6,50
grid4_cycle1_run7,56
grid4_cycle2_run7,55
grid4_cycle3_run7,56
grid4_cycle4_run7,52
grid4_cycle5_run7,51
grid4_cycle1_run8,47
grid4_cycle2_run8,54
grid4_cycle3_run8,55
grid4_cycle4_run8,53
grid4_cycle5_run8,54
grid4_cycle1_run9,51
grid4_cycle2_run9,52
grid4_cycle3_run9,53
grid4_cycle4_run9,52
grid4_cycle5_run9,54
grid5_cycle1_run0,54
grid5_cycle2_run0,55
grid5_cycle3_run0,55
grid5_cycle4_run0,56
grid5_cycle5_run0,56
grid5_cycle1_run1,50
grid5_cycle2_run1,56
grid5_cycle3_run1,51
grid5_cycle4_run1,55
grid5_cycle5_run1,53
grid5_cycle1_run2,49
grid5_cycle2_run2,52
grid5_cycle3_run2,56
grid5_cycle4_run2,55
grid5_cycle5_run2,56
grid5_cycle1_run3,51
grid5_cycle2_run3,49
grid5_cycle3_run3,49
grid5_cycle4_run3,49
grid5_cycle5_run3,50
grid5_cycle1_run4,51
grid5_cycle2_run4,52
grid5_cycle3_run4,52
grid5_cycle4_run4,52
grid5_cycle5_run4,50
grid5_cycle1_run5,60
grid5_cycle2_run5,58
grid5_cycle3_run5,58
grid5_cycle4_run5,57
grid5_cycle5_run5,58
grid5_cycle1_run6,51
grid5_cycle2_run6,50
grid5_cycle3_run6,52
grid5_cycle4_run6,52
grid5_cycle5_run6,52
grid5_cycle1_run7,52
grid5_cycle2_run7,56
grid5_cycle3_run7,54
grid5_cycle4_run7,56
grid5_cycle5_run7,55
grid5_cycle1_run8,50
grid5_cycle2_run8,52
grid5_cycle3_run8,54
grid5_cycle4_run8,54
grid5_cycle5_run8,53
grid5_cycle1_run9,51
grid5_cycle2_run9,50
grid5_cycle3_run9,51
grid5_cycle4_run9,50
grid5_cycle5_run9,50
grid6_cycle1_run0,43
grid6_cycle2_run0,51
grid6_cycle3_run0,53
grid6_cycle4_run0,53
grid6_cycle5_run0,52
grid6_cycle1_run1,58
grid6_cycle2_run1,55
grid6_cycle3_run1,55
grid6_cycle4_run1,55
grid6_cycle5_run1,55
grid6_cycle1_run2,45
grid6_cycle2_run2,52
grid6_cycle3_run2,53
grid6_cycle4_run2,53
grid6_cycle5_run2,55
grid6_cycle1_run3,40
grid6_cycle2_run3,45
grid6_cycle3_run3,47
grid6_cycle4_run3,47
grid6_cycle5_run3,51
grid6_cycle1_run4,49
grid6_cycle2_run4,55
grid6_cycle3_run4,56
grid6_cycle4_run4,55
grid6_cycle5_run4,55
grid6_cycle1_run5,43
grid6_cycle2_run5,47
grid6_cycle3_run5,47
grid6_cycle4_run5,48
grid6_cycle5_run5,47
grid6_cycle1_run6,41
grid6_cycle2_run6,41
grid6_cycle3_run6,46
grid6_cycle4_run6,45
grid6_cycle5_run6,50
grid6_cycle1_run7,48
grid6_cycle2_run7,57
grid6_cycle3_run7,57
grid6_cycle4_run7,55
grid6_cycle5_run7,53
grid6_cycle1_run8,54
grid6_cycle2_run8,47
grid6_cycle3_run8,47
grid6_cycle4_run8,47
grid6_cycle5_run8,47
grid6_cycle1_run9,51
grid6_cycle2_run9,46
grid6_cycle3_run9,48
grid6_cycle4_run9,48
grid6_cycle5_run9,50
grid7_cycle1_run0,36
grid7_cycle2_run0,50
grid7_cycle3_run0,50
grid7_cycle4_run0,47
grid7_cycle5_run0,47
grid7_cycle1_run1,47
grid7_cycle2_run1,53
grid7_cycle3_run1,53
grid7_cycle4_run1,52
grid7_cycle5_run1,52
grid7_cycle1_run2,46
grid7_cycle2_run2,52
grid7_cycle3_run2,50
grid7_cycle4_run2,50
grid7_cycle5_run2,48
grid7_cycle1_run3,51
grid7_cycle2_run3,56
grid7_cycle3_run3,55
grid7_cycle4_run3,54
grid7_cycle5_run3,56
grid7_cycle1_run4,27
grid7_cycle2_run4,41
grid7_cycle3_run4,49
grid7_cycle4_run4,50
grid7_cycle5_run4,51
grid7_cycle1_run5,46
grid7_cycle2_run5,56
grid7_cycle3_run5,56
grid7_cycle4_run5,57
grid7_cycle5_run5,57
grid7_cycle1_run6,45
grid7_cycle2_run6,51
grid7_cycle3_run6,54
grid7_cycle4_run6,54
grid7_cycle5_run6,49
grid7_cycle1_run7,51
grid7_cycle2_run7,53
grid7_cycle3_run7,45
grid7_cycle4_run7,55
grid7_cycle5_run7,51
grid7_cycle1_run8,40
grid7_cycle2_run8,55
grid7_cycle3_run8,53
grid7_cycle4_run8,53
grid7_cycle5_run8,52
grid7_cycle1_run9,47
grid7_cycle2_run9,50
grid7_cycle3_run9,54
grid7_cycle4_run9,59
grid7_cycle5_run9,55
grid8_cycle1_run0,46
grid8_cycle2_run0,57
grid8_cycle3_run0,55
grid8_cycle4_run0,52
grid8_cycle5_run0,53
grid8_cycle1_run1,42
grid8_cycle2_run1,52
grid8_cycle3_run1,45
grid8_cycle4_run1,49
grid8_cycle5_run1,50
grid8_cycle1_run2,47
grid8_cycle2_run2,43
grid8_cycle3_run2,43
grid8_cycle4_run2,39
grid8_cycle5_run2,43
grid8_cycle1_run3,27
grid8_cycle2_run3,36
grid8_cycle3_run3,35
grid8_cycle4_run3,50
grid8_cycle5_run3,48
grid8_cycle1_run4,12
grid8_cycle2_run4,37
grid8_cycle3_run4,48
grid8_cycle4_run4,50
grid8_cycle5_run4,50
grid8_cycle1_run5,22
grid8_cycle2_run5,32
grid8_cycle3_run5,50
grid8_cycle4_run5,49
