,SVR,SGD,RF,EN,kNN,GBR,NN
0,0.8,26.3,8.5,0.0,1.6,16.8,28.6
1,0.6,23.1,5.9,0.0,2.1,6.1,30.9
2,2.0,25.4,11.5,0.5,4.5,15.6,40.9
3,2.7,25.3,12.7,0.0,5.5,16.5,38.4
4,0.6,26.2,12.4,0.3,3.3,20.7,36.8
5,0.0,20.7,14.7,0.0,4.9,13.7,36.2
6,0.0,29.2,7.1,0.0,3.5,17.9,29.0
7,0.0,24.4,10.8,0.2,2.4,9.7,31.4
8,0.9,25.8,15.1,0.0,3.2,16.4,32.2
9,0.0,15.9,11.0,0.5,2.0,17.5,29.2
10,0.1,27.1,12.2,0.0,7.1,10.8,30.0
11,0.1,26.1,8.4,0.0,3.8,16.8,30.5
12,1.6,23.2,10.1,0.6,2.6,9.8,34.0
13,0.4,21.8,8.2,0.0,0.3,6.4,31.4
14,4.0,25.8,26.7,1.1,6.0,24.4,29.5
15,1.5,20.3,8.9,0.0,0.9,10.7,31.2
16,0.9,23.2,12.4,0.0,5.9,17.7,37.7
17,0.7,29.1,9.9,0.5,2.1,15.1,34.1
18,1.8,26.0,11.8,1.1,4.7,15.0,36.7
19,2.4,15.9,14.8,1.6,2.9,24.7,27.4
